gene	in_hvg	in_classic_marker	in_cluster_top_marker
CD3D	FALSE	TRUE	TRUE
CD3E	FALSE	TRUE	TRUE
NKG7	TRUE	TRUE	TRUE
GNLY	TRUE	TRUE	TRUE
CD8A	TRUE	TRUE	TRUE
IL7R	TRUE	TRUE	FALSE
MS4A1	TRUE	TRUE	TRUE
CD79A	TRUE	TRUE	TRUE
MZB1	TRUE	TRUE	TRUE
JCHAIN	TRUE	TRUE	TRUE
LYZ	TRUE	TRUE	TRUE
LST1	TRUE	TRUE	TRUE
CST3	TRUE	TRUE	TRUE
CD68	TRUE	TRUE	TRUE
MRC1	TRUE	TRUE	FALSE
EPCAM	FALSE	TRUE	FALSE
KRT8	TRUE	TRUE	FALSE
KRT18	TRUE	TRUE	FALSE
KRT19	TRUE	TRUE	FALSE
PECAM1	TRUE	TRUE	TRUE
VWF	TRUE	TRUE	TRUE
COL1A1	TRUE	TRUE	TRUE
DCN	TRUE	TRUE	FALSE
LTB	TRUE	FALSE	TRUE
EEF1A1	FALSE	FALSE	TRUE
RPL32	FALSE	FALSE	TRUE
RPL11	FALSE	FALSE	TRUE
LDHB	FALSE	FALSE	TRUE
RPL10	FALSE	FALSE	TRUE
RPL13	FALSE	FALSE	TRUE
RPL34	FALSE	FALSE	TRUE
RPS12	FALSE	FALSE	TRUE
RPS8	FALSE	FALSE	TRUE
RPL30	FALSE	FALSE	TRUE
RPL5	FALSE	FALSE	TRUE
RPS3A	FALSE	FALSE	TRUE
TPT1	FALSE	FALSE	TRUE
RPL19	FALSE	FALSE	TRUE
RPS25	FALSE	FALSE	TRUE
RPL14	FALSE	FALSE	TRUE
RPS28	FALSE	FALSE	TRUE
RPS18	TRUE	FALSE	TRUE
RPL37	FALSE	FALSE	TRUE
CCL5	TRUE	FALSE	TRUE
IL32	TRUE	FALSE	TRUE
GZMA	TRUE	FALSE	TRUE
GZMK	TRUE	FALSE	TRUE
CD8B	TRUE	FALSE	TRUE
PTPRCAP	FALSE	FALSE	TRUE
CST7	TRUE	FALSE	TRUE
CD2	FALSE	FALSE	TRUE
CTSW	TRUE	FALSE	TRUE
HLA-B	FALSE	FALSE	TRUE
B2M	FALSE	FALSE	TRUE
HLA-C	FALSE	FALSE	TRUE
RARRES3	FALSE	FALSE	TRUE
GZMM	TRUE	FALSE	TRUE
HLA-A	FALSE	FALSE	TRUE
CD3G	FALSE	FALSE	TRUE
TNFAIP3	TRUE	FALSE	TRUE
JUNB	TRUE	FALSE	TRUE
SPOCK2	TRUE	FALSE	TRUE
RGS1	TRUE	FALSE	TRUE
BTG1	FALSE	FALSE	TRUE
DNAJB1	FALSE	FALSE	TRUE
ICOS	TRUE	FALSE	TRUE
CD69	TRUE	FALSE	TRUE
CREM	FALSE	FALSE	TRUE
BTG2	TRUE	FALSE	TRUE
DDIT4	TRUE	FALSE	TRUE
SARAF	FALSE	FALSE	TRUE
DUSP1	TRUE	FALSE	TRUE
BIRC3	TRUE	FALSE	TRUE
SLC2A3	FALSE	FALSE	TRUE
EIF1	FALSE	FALSE	TRUE
HSPA8	FALSE	FALSE	TRUE
DUSP2	TRUE	FALSE	TRUE
NR4A2	TRUE	FALSE	TRUE
CXCR4	TRUE	FALSE	TRUE
CCL4	TRUE	FALSE	TRUE
ZFP36	FALSE	FALSE	TRUE
SRSF7	FALSE	FALSE	TRUE
ZFP36L2	FALSE	FALSE	TRUE
CTSB	TRUE	FALSE	TRUE
FTL	TRUE	FALSE	TRUE
PSAP	TRUE	FALSE	TRUE
CTSL	TRUE	FALSE	TRUE
GLUL	TRUE	FALSE	TRUE
C1QC	TRUE	FALSE	TRUE
C1QA	TRUE	FALSE	TRUE
CTSD	TRUE	FALSE	TRUE
FCGRT	TRUE	FALSE	TRUE
C1QB	TRUE	FALSE	TRUE
FABP5	TRUE	FALSE	TRUE
APOC1	TRUE	FALSE	TRUE
APOE	TRUE	FALSE	TRUE
FTH1	TRUE	FALSE	TRUE
NPC2	TRUE	FALSE	TRUE
CD14	TRUE	FALSE	TRUE
DAB2	TRUE	FALSE	TRUE
CTSZ	TRUE	FALSE	TRUE
MAFB	TRUE	FALSE	TRUE
AIF1	TRUE	FALSE	TRUE
TYROBP	TRUE	FALSE	TRUE
CD74	TRUE	FALSE	TRUE
SERPINA1	TRUE	FALSE	TRUE
HLA-DRA	TRUE	FALSE	TRUE
HLA-DRB1	TRUE	FALSE	TRUE
TMSB10	FALSE	FALSE	TRUE
MS4A6A	TRUE	FALSE	TRUE
IFI30	TRUE	FALSE	TRUE
S100A11	TRUE	FALSE	TRUE
FCER1G	TRUE	FALSE	TRUE
IFITM3	TRUE	FALSE	TRUE
SPI1	TRUE	FALSE	TRUE
COTL1	TRUE	FALSE	TRUE
HLA-DPA1	TRUE	FALSE	TRUE
GZMB	TRUE	FALSE	TRUE
PRF1	TRUE	FALSE	TRUE
CD247	TRUE	FALSE	TRUE
FGFBP2	TRUE	FALSE	TRUE
KLRD1	TRUE	FALSE	TRUE
GZMH	TRUE	FALSE	TRUE
IFITM2	FALSE	FALSE	TRUE
IER2	TRUE	FALSE	TRUE
LITAF	FALSE	FALSE	TRUE
KLRB1	TRUE	FALSE	TRUE
SSR4	FALSE	FALSE	TRUE
DERL3	TRUE	FALSE	TRUE
IGHA1	TRUE	FALSE	TRUE
SEC11C	FALSE	FALSE	TRUE
FKBP11	FALSE	FALSE	TRUE
HSP90B1	FALSE	FALSE	TRUE
PRDX4	FALSE	FALSE	TRUE
FKBP2	FALSE	FALSE	TRUE
IGLL5	TRUE	FALSE	TRUE
TNFRSF17	FALSE	FALSE	TRUE
SSR3	FALSE	FALSE	TRUE
IGKC	TRUE	FALSE	TRUE
SPCS1	FALSE	FALSE	TRUE
HERPUD1	TRUE	FALSE	TRUE
XBP1	TRUE	FALSE	TRUE
POU2AF1	TRUE	FALSE	TRUE
IGHA2	TRUE	FALSE	TRUE
CD37	FALSE	FALSE	TRUE
HLA-DQA1	TRUE	FALSE	TRUE
HLA-DPB1	TRUE	FALSE	TRUE
HLA-DQB1	TRUE	FALSE	TRUE
CD79B	TRUE	FALSE	TRUE
BANK1	TRUE	FALSE	TRUE
VPREB3	TRUE	FALSE	TRUE
HVCN1	TRUE	FALSE	TRUE
NCF1	TRUE	FALSE	TRUE
MEF2C	TRUE	FALSE	TRUE
RALGPS2	TRUE	FALSE	TRUE
LINC00926	TRUE	FALSE	TRUE
CD19	TRUE	FALSE	TRUE
RPL8	FALSE	FALSE	TRUE
FCGR3A	TRUE	FALSE	TRUE
SPON2	TRUE	FALSE	TRUE
KLRF1	TRUE	FALSE	TRUE
HOPX	TRUE	FALSE	TRUE
CLIC3	TRUE	FALSE	TRUE
EFHD2	FALSE	FALSE	TRUE
CX3CR1	TRUE	FALSE	TRUE
TRBC1	TRUE	FALSE	TRUE
SAT1	TRUE	FALSE	TRUE
PLAUR	TRUE	FALSE	TRUE
NAMPT	TRUE	FALSE	TRUE
BCL2A1	TRUE	FALSE	TRUE
SOD2	TRUE	FALSE	TRUE
TIMP1	TRUE	FALSE	TRUE
IL1B	TRUE	FALSE	TRUE
NEAT1	TRUE	FALSE	TRUE
CTSS	TRUE	FALSE	TRUE
CD83	TRUE	FALSE	TRUE
CD7	TRUE	FALSE	TRUE
XCL1	TRUE	FALSE	TRUE
TRDC	TRUE	FALSE	TRUE
IL2RB	TRUE	FALSE	TRUE
XCL2	TRUE	FALSE	TRUE
IFITM1	TRUE	FALSE	TRUE
MATK	TRUE	FALSE	TRUE
CMC1	TRUE	FALSE	TRUE
STK17A	FALSE	FALSE	TRUE
HCST	FALSE	FALSE	TRUE
SH2D1B	TRUE	FALSE	TRUE
KLRC1	TRUE	FALSE	TRUE
TMSB4X	FALSE	FALSE	TRUE
GAPDH	TRUE	FALSE	TRUE
PPIA	FALSE	FALSE	TRUE
S100A8	TRUE	FALSE	TRUE
