source	group	gene	mean_expression
original_qc	B/Plasma | ref:B cell_C3	CD3D	0
original_qc	B/Plasma | ref:pDCs	CD3D	0.0666666666666667
original_qc	B/Plasma | ref:Plasma_C0	CD3D	0
original_qc	Endothelial/Fibroblast | ref:Endothelial_C0	CD3D	0.00574712643678159
original_qc	Endothelial/Fibroblast | ref:VSMC_C3	CD3D	0
original_qc	Myeloid/TAM | ref:Classical Mono_C1	CD3D	0
original_qc	Myeloid/TAM | ref:Mast	CD3D	0.04
original_qc	Myeloid/TAM | ref:TAM_C0	CD3D	0
original_qc	Myeloid/TAM | ref:TAM_C3	CD3D	0
original_qc	Myeloid/TAM | ref:TAM_C4	CD3D	0
original_qc	T/NK | ref:CD4_C1	CD3D	2.2347245409015
original_qc	T/NK | ref:CD4_C2	CD3D	3.45581655480984
original_qc	T/NK | ref:CD8_C0	CD3D	2.49658150413817
original_qc	T/NK | ref:CD8_C1	CD3D	3.34077892325315
original_qc	T/NK | ref:CD8_C3	CD3D	2.47826086956522
original_qc	T/NK | ref:DNT	CD3D	4.67293233082707
original_qc	T/NK | ref:NK_C1	CD3D	0.517195767195768
original_qc	T/NK | ref:NK_C2	CD3D	0.767787333854575
original_qc	T/NK | ref:NK_C3	CD3D	0.11764705882353
original_qc	B/Plasma | ref:B cell_C3	CD3E	0
original_qc	B/Plasma | ref:pDCs	CD3E	0.416666666666667
original_qc	B/Plasma | ref:Plasma_C0	CD3E	0.0019860973187686
original_qc	Endothelial/Fibroblast | ref:Endothelial_C0	CD3E	0
original_qc	Endothelial/Fibroblast | ref:VSMC_C3	CD3E	0
original_qc	Myeloid/TAM | ref:Classical Mono_C1	CD3E	0
original_qc	Myeloid/TAM | ref:Mast	CD3E	0.104
original_qc	Myeloid/TAM | ref:TAM_C0	CD3E	0
original_qc	Myeloid/TAM | ref:TAM_C3	CD3E	0
original_qc	Myeloid/TAM | ref:TAM_C4	CD3E	0.00522193211488249
original_qc	T/NK | ref:CD4_C1	CD3E	5.01903171953255
original_qc	T/NK | ref:CD4_C2	CD3E	5.03523489932886
original_qc	T/NK | ref:CD8_C0	CD3E	4.91111910759267
original_qc	T/NK | ref:CD8_C1	CD3E	4.95647193585338
original_qc	T/NK | ref:CD8_C3	CD3E	5.27950310559006
original_qc	T/NK | ref:DNT	CD3E	6.50375939849625
original_qc	T/NK | ref:NK_C1	CD3E	1.53968253968254
original_qc	T/NK | ref:NK_C2	CD3E	2.06958561376075
original_qc	T/NK | ref:NK_C3	CD3E	1.01102941176471
original_qc	B/Plasma | ref:B cell_C3	NKG7	0
original_qc	B/Plasma | ref:pDCs	NKG7	0.95
original_qc	B/Plasma | ref:Plasma_C0	NKG7	0.0059582919563058
original_qc	Endothelial/Fibroblast | ref:Endothelial_C0	NKG7	0.0172413793103448
original_qc	Endothelial/Fibroblast | ref:VSMC_C3	NKG7	0.137096774193549
original_qc	Myeloid/TAM | ref:Classical Mono_C1	NKG7	0.122881355932203
original_qc	Myeloid/TAM | ref:Mast	NKG7	0.216
original_qc	Myeloid/TAM | ref:TAM_C0	NKG7	0.160251924422673
original_qc	Myeloid/TAM | ref:TAM_C3	NKG7	0.280821917808219
original_qc	Myeloid/TAM | ref:TAM_C4	NKG7	0.0339425587467363
original_qc	T/NK | ref:CD4_C1	NKG7	0.179966611018365
original_qc	T/NK | ref:CD4_C2	NKG7	0.310961968680089
original_qc	T/NK | ref:CD8_C0	NKG7	9.5696293630803
original_qc	T/NK | ref:CD8_C1	NKG7	8.33963344788089
original_qc	T/NK | ref:CD8_C3	NKG7	0.288819875776398
original_qc	T/NK | ref:DNT	NKG7	6.69924812030073
original_qc	T/NK | ref:NK_C1	NKG7	26.3346560846561
original_qc	T/NK | ref:NK_C2	NKG7	17.7443315089914
original_qc	T/NK | ref:NK_C3	NKG7	17.0533088235294
original_qc	B/Plasma | ref:B cell_C3	GNLY	0.00696864111498258
original_qc	B/Plasma | ref:pDCs	GNLY	0.316666666666667
original_qc	B/Plasma | ref:Plasma_C0	GNLY	0.0148957298907648
original_qc	Endothelial/Fibroblast | ref:Endothelial_C0	GNLY	0.0459770114942529
original_qc	Endothelial/Fibroblast | ref:VSMC_C3	GNLY	0.104838709677419
original_qc	Myeloid/TAM | ref:Classical Mono_C1	GNLY	0.0145278450363197
original_qc	Myeloid/TAM | ref:Mast	GNLY	0.08
original_qc	Myeloid/TAM | ref:TAM_C0	GNLY	0.026592022393282
original_qc	Myeloid/TAM | ref:TAM_C3	GNLY	0.108219178082192
original_qc	Myeloid/TAM | ref:TAM_C4	GNLY	0.00522193211488249
original_qc	T/NK | ref:CD4_C1	GNLY	0.113188647746245
original_qc	T/NK | ref:CD4_C2	GNLY	0.302013422818794
original_qc	T/NK | ref:CD8_C0	GNLY	2.49406261245051
original_qc	T/NK | ref:CD8_C1	GNLY	4.21363115693013
original_qc	T/NK | ref:CD8_C3	GNLY	0.0590062111801243
original_qc	T/NK | ref:DNT	GNLY	3.31203007518797
original_qc	T/NK | ref:NK_C1	GNLY	27.6732804232804
original_qc	T/NK | ref:NK_C2	GNLY	17.7857701329164
original_qc	T/NK | ref:NK_C3	GNLY	12.0735294117647
original_qc	B/Plasma | ref:B cell_C3	CD8A	0
original_qc	B/Plasma | ref:pDCs	CD8A	0.2
original_qc	B/Plasma | ref:Plasma_C0	CD8A	0
original_qc	Endothelial/Fibroblast | ref:Endothelial_C0	CD8A	0
original_qc	Endothelial/Fibroblast | ref:VSMC_C3	CD8A	0.00403225806451613
original_qc	Myeloid/TAM | ref:Classical Mono_C1	CD8A	0.0042372881355932
original_qc	Myeloid/TAM | ref:Mast	CD8A	0.032
original_qc	Myeloid/TAM | ref:TAM_C0	CD8A	0.00489853044086779
original_qc	Myeloid/TAM | ref:TAM_C3	CD8A	0.00684931506849313
original_qc	Myeloid/TAM | ref:TAM_C4	CD8A	0.00261096605744124
original_qc	T/NK | ref:CD4_C1	CD8A	0.0550918196994996
original_qc	T/NK | ref:CD4_C2	CD8A	0.0961968680089489
original_qc	T/NK | ref:CD8_C0	CD8A	3.33285354444044
original_qc	T/NK | ref:CD8_C1	CD8A	3.90378006872853
original_qc	T/NK | ref:CD8_C3	CD8A	2.95341614906832
original_qc	T/NK | ref:DNT	CD8A	2.54511278195489
original_qc	T/NK | ref:NK_C1	CD8A	0.415343915343916
original_qc	T/NK | ref:NK_C2	CD8A	0.776387802971071
original_qc	T/NK | ref:NK_C3	CD8A	0.143382352941177
original_qc	B/Plasma | ref:B cell_C3	IL7R	0
original_qc	B/Plasma | ref:pDCs	IL7R	0.0666666666666667
original_qc	B/Plasma | ref:Plasma_C0	IL7R	0
original_qc	Endothelial/Fibroblast | ref:Endothelial_C0	IL7R	0.00574712643678159
original_qc	Endothelial/Fibroblast | ref:VSMC_C3	IL7R	0.233870967741936
original_qc	Myeloid/TAM | ref:Classical Mono_C1	IL7R	0.0193704600484261
original_qc	Myeloid/TAM | ref:Mast	IL7R	0.016
original_qc	Myeloid/TAM | ref:TAM_C0	IL7R	0.208537438768369
original_qc	Myeloid/TAM | ref:TAM_C3	IL7R	0.939726027397256
original_qc	Myeloid/TAM | ref:TAM_C4	IL7R	0.0757180156657967
original_qc	T/NK | ref:CD4_C1	IL7R	4.74290484140231
original_qc	T/NK | ref:CD4_C2	IL7R	3.89261744966442
original_qc	T/NK | ref:CD8_C0	IL7R	1.80064771500538
original_qc	T/NK | ref:CD8_C1	IL7R	1.36769759450172
original_qc	T/NK | ref:CD8_C3	IL7R	3.35093167701864
original_qc	T/NK | ref:DNT	IL7R	0.515037593984962
original_qc	T/NK | ref:NK_C1	IL7R	0.0714285714285715
original_qc	T/NK | ref:NK_C2	IL7R	0.326817826426895
original_qc	T/NK | ref:NK_C3	IL7R	0.391544117647059
original_qc	B/Plasma | ref:B cell_C3	MS4A1	5.24506387921023
original_qc	B/Plasma | ref:pDCs	MS4A1	0
original_qc	B/Plasma | ref:Plasma_C0	MS4A1	0.0407149950347569
original_qc	Endothelial/Fibroblast | ref:Endothelial_C0	MS4A1	0
original_qc	Endothelial/Fibroblast | ref:VSMC_C3	MS4A1	0
original_qc	Myeloid/TAM | ref:Classical Mono_C1	MS4A1	0
original_qc	Myeloid/TAM | ref:Mast	MS4A1	0
