cluster	marker_set	mean_marker_score	genes_present
0	T/NK	1.0196771621704102	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
1	T/NK	1.803357720375061	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
10	T/NK	0.07381907105445862	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
11	T/NK	1.103135108947754	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
12	T/NK	0.030170438811182976	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
13	T/NK	0.026301780715584755	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
14	T/NK	1.266532063484192	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
15	T/NK	0.986582338809967	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
16	T/NK	0.03207624331116676	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
17	T/NK	0.012531187385320663	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
18	T/NK	0.04905111342668533	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
19	T/NK	0.12087126076221466	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
2	T/NK	1.0770801305770874	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
3	T/NK	1.7928038835525513	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
4	T/NK	0.02551162987947464	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
5	T/NK	0.02421085722744465	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
6	T/NK	1.6484990119934082	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
7	T/NK	0.002124309539794922	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
8	T/NK	0.0013104148674756289	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
9	T/NK	1.6753138303756714	CD3D,CD3E,NKG7,GNLY,CD8A,IL7R
0	B/Plasma	0.004775553476065397	MS4A1,CD79A,MZB1,JCHAIN
1	B/Plasma	0.00847452599555254	MS4A1,CD79A,MZB1,JCHAIN
10	B/Plasma	0.011104307137429714	MS4A1,CD79A,MZB1,JCHAIN
11	B/Plasma	0.009577048942446709	MS4A1,CD79A,MZB1,JCHAIN
12	B/Plasma	0.17597460746765137	MS4A1,CD79A,MZB1,JCHAIN
13	B/Plasma	0.0020791885908693075	MS4A1,CD79A,MZB1,JCHAIN
14	B/Plasma	0.0017641927115619183	MS4A1,CD79A,MZB1,JCHAIN
15	B/Plasma	0.03454099968075752	MS4A1,CD79A,MZB1,JCHAIN
16	B/Plasma	0.02069002389907837	MS4A1,CD79A,MZB1,JCHAIN
17	B/Plasma	0.02121751196682453	MS4A1,CD79A,MZB1,JCHAIN
18	B/Plasma	0.04099449887871742	MS4A1,CD79A,MZB1,JCHAIN
19	B/Plasma	1.1384546756744385	MS4A1,CD79A,MZB1,JCHAIN
2	B/Plasma	0.04150967672467232	MS4A1,CD79A,MZB1,JCHAIN
3	B/Plasma	0.04450996220111847	MS4A1,CD79A,MZB1,JCHAIN
4	B/Plasma	0.0030356761999428272	MS4A1,CD79A,MZB1,JCHAIN
5	B/Plasma	0.002765680430456996	MS4A1,CD79A,MZB1,JCHAIN
6	B/Plasma	0.01766856200993061	MS4A1,CD79A,MZB1,JCHAIN
7	B/Plasma	2.515876054763794	MS4A1,CD79A,MZB1,JCHAIN
8	B/Plasma	1.4619215726852417	MS4A1,CD79A,MZB1,JCHAIN
9	B/Plasma	0.0046590836718678474	MS4A1,CD79A,MZB1,JCHAIN
0	Myeloid/TAM	0.046504829078912735	LYZ,LST1,CST3,CD68,MRC1
1	Myeloid/TAM	0.047053560614585876	LYZ,LST1,CST3,CD68,MRC1
10	Myeloid/TAM	2.051574945449829	LYZ,LST1,CST3,CD68,MRC1
11	Myeloid/TAM	0.059118207544088364	LYZ,LST1,CST3,CD68,MRC1
12	Myeloid/TAM	1.295754313468933	LYZ,LST1,CST3,CD68,MRC1
13	Myeloid/TAM	2.3965065479278564	LYZ,LST1,CST3,CD68,MRC1
14	Myeloid/TAM	0.040939778089523315	LYZ,LST1,CST3,CD68,MRC1
15	Myeloid/TAM	0.04328462481498718	LYZ,LST1,CST3,CD68,MRC1
16	Myeloid/TAM	0.48315945267677307	LYZ,LST1,CST3,CD68,MRC1
17	Myeloid/TAM	0.2969740629196167	LYZ,LST1,CST3,CD68,MRC1
18	Myeloid/TAM	0.5322453379631042	LYZ,LST1,CST3,CD68,MRC1
19	Myeloid/TAM	1.0372565984725952	LYZ,LST1,CST3,CD68,MRC1
2	Myeloid/TAM	0.03099764883518219	LYZ,LST1,CST3,CD68,MRC1
3	Myeloid/TAM	0.030178070068359375	LYZ,LST1,CST3,CD68,MRC1
4	Myeloid/TAM	2.0588836669921875	LYZ,LST1,CST3,CD68,MRC1
5	Myeloid/TAM	2.1982486248016357	LYZ,LST1,CST3,CD68,MRC1
6	Myeloid/TAM	0.033565543591976166	LYZ,LST1,CST3,CD68,MRC1
7	Myeloid/TAM	0.022055374458432198	LYZ,LST1,CST3,CD68,MRC1
8	Myeloid/TAM	0.045182861387729645	LYZ,LST1,CST3,CD68,MRC1
9	Myeloid/TAM	0.03854445368051529	LYZ,LST1,CST3,CD68,MRC1
0	Epithelial/Tumor-related	0.016284653916954994	EPCAM,KRT8,KRT18,KRT19
1	Epithelial/Tumor-related	0.01186944916844368	EPCAM,KRT8,KRT18,KRT19
10	Epithelial/Tumor-related	0.014643918722867966	EPCAM,KRT8,KRT18,KRT19
11	Epithelial/Tumor-related	0.00525667704641819	EPCAM,KRT8,KRT18,KRT19
12	Epithelial/Tumor-related	0.05717013403773308	EPCAM,KRT8,KRT18,KRT19
13	Epithelial/Tumor-related	0.0006264273542910814	EPCAM,KRT8,KRT18,KRT19
14	Epithelial/Tumor-related	0.01011676900088787	EPCAM,KRT8,KRT18,KRT19
15	Epithelial/Tumor-related	0.03836975246667862	EPCAM,KRT8,KRT18,KRT19
16	Epithelial/Tumor-related	0.39138105511665344	EPCAM,KRT8,KRT18,KRT19
17	Epithelial/Tumor-related	0.26074206829071045	EPCAM,KRT8,KRT18,KRT19
18	Epithelial/Tumor-related	0.0889274850487709	EPCAM,KRT8,KRT18,KRT19
19	Epithelial/Tumor-related	0.014089296571910381	EPCAM,KRT8,KRT18,KRT19
2	Epithelial/Tumor-related	0.03636883199214935	EPCAM,KRT8,KRT18,KRT19
3	Epithelial/Tumor-related	0.047516610473394394	EPCAM,KRT8,KRT18,KRT19
4	Epithelial/Tumor-related	0.017575837671756744	EPCAM,KRT8,KRT18,KRT19
5	Epithelial/Tumor-related	0.006769492290914059	EPCAM,KRT8,KRT18,KRT19
6	Epithelial/Tumor-related	0.025321628898382187	EPCAM,KRT8,KRT18,KRT19
7	Epithelial/Tumor-related	0.02562161535024643	EPCAM,KRT8,KRT18,KRT19
8	Epithelial/Tumor-related	0.02750876173377037	EPCAM,KRT8,KRT18,KRT19
9	Epithelial/Tumor-related	0.0034201776143163443	EPCAM,KRT8,KRT18,KRT19
0	Endothelial/Fibroblast	0.014243206940591335	PECAM1,VWF,COL1A1,DCN
1	Endothelial/Fibroblast	0.07350059598684311	PECAM1,VWF,COL1A1,DCN
10	Endothelial/Fibroblast	0.23889534175395966	PECAM1,VWF,COL1A1,DCN
11	Endothelial/Fibroblast	0.0691240206360817	PECAM1,VWF,COL1A1,DCN
12	Endothelial/Fibroblast	0.022492969408631325	PECAM1,VWF,COL1A1,DCN
13	Endothelial/Fibroblast	0.21733605861663818	PECAM1,VWF,COL1A1,DCN
14	Endothelial/Fibroblast	0.09292334318161011	PECAM1,VWF,COL1A1,DCN
