leiden_0.5	B cell_C2	B cell_C3	CD4_C0	CD4_C1	CD4_C2	CD4_C3	CD4_C4	CD4_C5	CD4_C6	CD8_C0	CD8_C1	CD8_C2	CD8_C3	CD8_C4	CD8_C5	CD8_C6	CD8_C7	CD8_C8	CD8_C9	Classical Mono_C1	Classical Mono_C2	DC1_C14	DC2_C5	DC_C13	DNT	Endothelial_C0	Endothelial_C4	Endothelial_C7	Endothelial_C13	Fibroblast_C1	Fibroblast_C2	Fibroblast_C6	Fibroblast_C9	Fibroblast_C15	Mast	Mesothelial_C8	Mesothelial_C12	NKT	NK_C1	NK_C2	NK_C3	NK_C4	NK_C6	NK_C7	Non-classical Mono_C6	Plasma_C0	Plasma_C1	Plasma_C4	Proliferating DC_C9	Proliferative B cell	Proliferative CD4 T cell	Proliferative CD8 T cell	Proliferative NK cell	Proliferative plasma cell	TAM_C0	TAM_C3	TAM_C4	TAM_C7	VSMC_C3	VSMC_C14	gdT	pDCs
0	0	0	929	1111	2	312	338	8	0	20	0	1	103	0	3	0	44	0	24	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0
1	0	0	0	1	0	0	63	0	0	868	49	657	122	1	113	17	43	4	14	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	477	0	0	4	3	0	8	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	274	0
2	0	0	75	124	522	407	82	216	181	13	16	1	23	51	30	1	9	2	2	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	1	1
3	0	0	0	1	8	1	13	2	2	189	659	199	16	166	134	128	42	38	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	30	0	2	2	2	0	39	0	0	0	0	0	0	0	35	2	0	0	0	0	0	0	0	29	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	40	0	0	0	0	0	1206	36	86	47	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	137	1	324	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	24	0	0	0	29	2	0	0	0	0	99	4	103	148	0	0	0	0
6	0	0	0	0	0	0	3	0	0	5	40	1	1	3	0	33	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	199	120	512	109	72	36	90	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	26	0
7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	324	156	0	3	0	1	0	28	0	0	0	0	0	0	0	0
8	425	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	405	3	6	318	3	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	9	44	60	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	6	0	0	0	0	0	19	371	5	1	0	0	0	4
