resolution	cluster	n_cells
0.3	0	3334
0.3	1	3036
0.3	2	2773
0.3	3	2158
0.3	4	1778
0.3	5	1769
0.3	6	1091
0.3	7	1007
0.3	8	926
0.3	9	542
0.3	10	422
0.3	11	125
0.3	12	123
0.3	13	60
0.5	0	2995
0.5	1	2779
0.5	2	1788
0.5	3	1746
0.5	4	1429
0.5	5	1311
0.5	6	1279
0.5	7	1007
0.5	8	861
0.5	9	756
0.5	10	730
0.5	11	544
0.5	12	383
0.5	13	341
0.5	14	322
0.5	15	266
0.5	16	248
0.5	17	174
0.5	18	125
0.5	19	60
0.8	0	2404
0.8	1	1893
0.8	2	1484
0.8	3	1456
0.8	4	1236
0.8	5	1016
0.8	6	928
0.8	7	870
0.8	8	816
0.8	9	756
0.8	10	741
0.8	11	592
0.8	12	588
0.8	13	545
0.8	14	506
0.8	15	467
0.8	16	413
0.8	17	377
0.8	18	342
0.8	19	341
0.8	20	318
0.8	21	271
0.8	22	248
0.8	23	177
0.8	24	174
0.8	25	125
0.8	26	60
1.0	0	2263
1.0	1	1531
1.0	2	1441
1.0	3	1432
1.0	4	1262
1.0	5	1017
1.0	6	1001
1.0	7	996
1.0	8	855
1.0	9	851
1.0	10	754
1.0	11	590
1.0	12	575
1.0	13	548
1.0	14	492
1.0	15	425
1.0	16	417
1.0	17	408
1.0	18	390
1.0	19	341
1.0	20	292
1.0	21	253
1.0	22	248
1.0	23	226
1.0	24	177
1.0	25	174
1.0	26	125
1.0	27	60
