metric	value
original_blind_vs_celltype_ari	0.119525066915137
original_blind_vs_celltype_nmi	0.504263537028787
original_broad_blind_vs_celltype_broad_ari	0.898459948453478
original_broad_blind_vs_celltype_broad_nmi	0.828001516557272
simulated_blind_vs_reference_ari	0.310258448857488
simulated_blind_vs_reference_nmi	0.661035470595264
simulated_broad_blind_vs_reference_broad_ari	0.998906686020082
simulated_broad_blind_vs_reference_broad_nmi	0.996141772830138
mean_cluster_source_balance_score	0.194123141294993
median_cluster_source_balance_score	0.198951319787881
