cluster	n_cells	blind_annotation	blind_annotation_confidence	best_marker_score	second_marker_score	marker_score_margin	singler_hpca_label	singler_mapped_lineage	source_original_fraction	source_simulated_fraction	blind_annotation_evidence
0	16783	T cell	high	2.01653182734935	0.509186767474459	1.50734505987489	T_cell:CD4+_central_memory	T cell	0.198951319787881	0.801048680212119	markers=LTB,CD3E,IL7R,CD3D,IL32,LDHB,CD3G,SPOCK2,PTPRCAP,IFITM1; marker_panel=T cell; SingleR=T_cell:CD4+_central_memory; SingleR_lineage=T cell
1	14209	T cell	high	2.90054362518177	1.56720113334181	1.33334249183996	T_cell:gamma-delta	T cell	0.194243085368428	0.805756914631572	markers=NKG7,CD8A,CD8B,CCL5,GZMH,CTSW,GZMA,CST7,GZMK,CD3E; marker_panel=T cell; SingleR=T_cell:gamma-delta; SingleR_lineage=T cell
10	3241	Myeloid/TAM	high	2.71917712929958	1.7514965928634	0.967680536436178	Monocyte:CD16-	Myeloid/TAM	0.194075902499229	0.805924097500771	markers=PLAUR,SERPINA1,AIF1,LYZ,LST1,CST3,SPI1,IFI30,CD68,FCER1G; marker_panel=Myeloid/TAM; SingleR=Monocyte:CD16-; SingleR_lineage=Myeloid/TAM
11	2872	NK cell	high	2.63890708192658	0.928413490562823	1.71049359136376	NK_cell:IL2	NK cell	0.196030640668524	0.803969359331476	markers=KLRD1,CTSW,NKG7,TYROBP,MATK,SH2D1B,IL2RB,CLIC3,TRDC,XCL2; marker_panel=NK cell; SingleR=NK_cell:IL2; SingleR_lineage=NK cell
12	1937	Myeloid/TAM	high	2.3867741958646	1.92201828062595	0.464755915238656	Macrophage:monocyte-derived:IL-4/Dex/cntrl	Myeloid/TAM	0.204956117707796	0.795043882292204	markers=AIF1,CST3,LYZ,APOC1,CD68,TYROBP,APOE,C1QA,C1QC,C1QB; marker_panel=Myeloid/TAM; SingleR=Macrophage:monocyte-derived:IL-4/Dex/cntrl; SingleR_lineage=Myeloid/TAM
13	1223	Fibroblast/Pericyte	high	3.65021572628113	0.739842186696001	2.91037353958513	iPS_cells:fibroblasts	Fibroblast/Pericyte	0.207686017988553	0.792313982011447	markers=COL1A1,DCN,SPON2,CST3,IFITM3,TIMP1,FCGRT,APOE,PRDX4,VCAN; marker_panel=Fibroblast/Pericyte; SingleR=iPS_cells:fibroblasts; SingleR_lineage=Fibroblast/Pericyte
14	842	T cell	high	2.58124792610869	1.66498922511443	0.916258700994263	T_cell:CD4+_effector_memory	T cell	0.119952494061758	0.880047505938242	markers=GZMA,CCL5,CD3E,IL32,NKG7,GZMH,CST7,CD3D,CD2,HLA-A; marker_panel=T cell; SingleR=T_cell:CD4+_effector_memory; SingleR_lineage=T cell
15	826	Myeloid/TAM	medium	0.735708283753026	0.537834488305473	0.197873795447553	Endothelial_cells:HUVEC:PR8-infected	Endothelial	0.364406779661017	0.635593220338983	markers=GLUL,FCER1G,TYROBP,IFITM3,TIMP1,CD83,TNFAIP3,CD69,BTG2,NR4A2; marker_panel=Myeloid/TAM; SingleR=Endothelial_cells:HUVEC:PR8-infected; SingleR_lineage=Endothelial
16	797	Endothelial	high	3.85128384249061	1.08190154494855	2.76938229754206	Endothelial_cells:lymphatic:TNFa_48h	Endothelial	0.193224592220828	0.806775407779172	markers=VWF,PECAM1,IFITM3,DAB2,MEF2C,FCGRT,FABP5,NPC2,TIMP1,CTSB; marker_panel=Endothelial; SingleR=Endothelial_cells:lymphatic:TNFa_48h; SingleR_lineage=Endothelial
17	350	Myeloid/TAM	high	2.77949793537576	1.37763627919044	1.40186165618532	Monocyte:CD14+	Myeloid/TAM	0.962857142857143	0.0371428571428571	markers=S100A8,FCN1,S100A9,LYZ,CCL3L1,VCAN,CSTA,IL1B,SERPINA1,AIF1; marker_panel=Myeloid/TAM; SingleR=Monocyte:CD14+; SingleR_lineage=Myeloid/TAM
