p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.19598981497687	0.877	0.405	0	0	LTB
0	0.79170661540216	0.961	0.511	0	0	CD3E
0	1.86345839092191	0.692	0.277	0	0	IL7R
0	0.46519388367836	0.806	0.413	0	0	CD3D
0	0.603882315989883	0.946	0.582	0	0	IL32
0	1.8130261616825	0.899	0.558	0	0	LDHB
0	0.504570444969716	0.653	0.338	0	0	CD3G
0	0.514591015781685	0.614	0.336	0	0	SPOCK2
0	0.13697043010628	0.922	0.66	0	0	PTPRCAP
0	0.5719779727114	0.934	0.723	0	0	IFITM1
0	0.215390804416937	0.871	0.75	0	0	CD37
0	0.649764232940592	0.938	0.826	0	0	SARAF
0	0.985386175418869	0.997	0.963	0	0	RPL5
0	0.887350451667667	0.998	0.977	0	0	RPS25
0	0.850831088551571	0.999	0.978	0	0	RPL14
0	0.892921190233	0.999	0.983	0	0	RPS18
0	0.974230243873457	0.999	0.984	0	0	RPS3A
0	0.851616658092766	0.999	0.986	0	0	RPL37
0	0.688452053141457	0.999	0.986	0	0	RPL8
0	0.174669093562446	0.996	0.985	0	0	TMSB10
0	0.905754229901422	1	0.99	0	0	RPS8
0	0.845273287617384	0.999	0.989	0	0	TPT1
0	0.886575965148114	1	0.992	0	0	RPL11
0	0.929543420666047	1	0.992	0	0	RPL34
0	0.997209505938103	1	0.993	0	0	RPL32
0	0.785166423747405	1	0.993	0	0	RPL19
0	0.881700182278983	1	0.994	0	0	RPL13
0	0.965389465793194	1	0.995	0	0	RPS12
0	0.869264298439557	1	0.995	0	0	RPL30
0	0.725694326110355	1	0.995	0	0	RPS28
0	0.941963555738115	1	0.997	0	0	EEF1A1
0	0.785581589390862	1	0.997	0	0	RPL10
0	1.20289438141866	0.947	0.357	0	1	NKG7
0	2.54597422437667	0.761	0.176	0	1	CD8A
0	2.8711138746533	0.682	0.136	0	1	CD8B
0	2.06223359447242	0.947	0.442	0	1	CCL5
0	1.97384580007022	0.662	0.178	0	1	GZMH
0	1.2630396538969	0.811	0.33	0	1	CTSW
0	1.4355257670607	0.789	0.316	0	1	GZMA
0	1.2171412319609	0.883	0.417	0	1	CST7
0	2.6893116820264	0.603	0.168	0	1	GZMK
0	1.17164514194986	0.958	0.526	0	1	CD3E
0	1.54868324287262	0.76	0.34	0	1	GZMM
0	1.07618975598655	0.825	0.422	0	1	CD3D
0	1.39940114571771	0.83	0.436	0	1	CD2
0	1.44632205285359	0.728	0.335	0	1	CD3G
0	0.75559720219992	0.631	0.254	0	1	PRF1
0	1.18354659582461	0.96	0.591	0	1	IL32
0	1.13480812865303	0.959	0.662	0	1	PTPRCAP
0	1.3615356249789	0.456	0.177	0	1	MATK
0	1.27177916629174	0.846	0.57	0	1	RARRES3
0	1.14012531413304	0.451	0.195	0	1	HOPX
0	0.302506104293421	0.602	0.35	0	1	CCL4
0	0.917863280791406	0.433	0.184	0	1	CLIC3
0	0.976883493568029	0.715	0.476	0	1	STK17A
0	0.624960055293534	0.573	0.352	0	1	SPOCK2
0	0.208258107109158	0.595	0.397	0	1	CD247
0	1.03424646494307	0.885	0.699	0	1	HCST
0	0.385947429714592	0.499	0.323	0	1	IL7R
0	0.433851298566283	0.906	0.735	0	1	IFITM1
0	1.04715184625816	0.419	0.248	0	1	CMC1
0	0.191329180717204	0.323	0.157	0	1	KLRD1
0	0.36735380672042	0.445	0.292	0	1	TRBC1
0	0.356485478320863	0.399	0.268	0	1	KLRB1
0	0.221026048222624	0.365	0.241	0	1	IL2RB
0	0.626082442219975	0.147	0.068	0	1	KLRC1
0	0.172387358433666	0.686	0.615	0	1	COTL1
0	0.160774780581768	0.677	0.608	0	1	LDHB
0	0.141342167726366	0.811	0.764	0	1	CD37
0	0.272790818991876	0.878	0.84	0	1	SARAF
0	0.379748201567655	0.588	0.551	0	1	LITAF
0	0.114976169343129	0.149	0.114	0	1	CX3CR1
0	0.219124327411008	0.788	0.754	0	1	ZFP36L2
0	0.768838284999398	0.979	0.949	0	1	HLA-C
0	0.708925546436272	0.986	0.962	0	1	HLA-A
0	0.35940246797584	0.995	0.978	0	1	RPS25
0	0.170947013145211	0.982	0.967	0	1	RPL5
0	0.336273671287691	0.994	0.979	0	1	RPL14
0	0.222437245791763	0.997	0.984	0	1	RPS18
0	0.703209469941806	0.997	0.988	0	1	HLA-B
0	0.101117382717467	0.999	0.992	0	1	RPL11
0	0.191230315225291	0.999	0.992	0	1	RPL34
0	0.318575370276891	0.998	0.991	0	1	TMSB4X
0	0.284678583312393	1	0.994	0	1	RPL13
0	0.21504376943044	1	0.994	0	1	RPL19
0	0.149256179202336	0.91	0.916	0	1	PPIA
0	0.280430530108248	1	0.995	0	1	RPS12
0	0.2319244240916	1	0.995	0	1	RPS28
0	0.374249064063823	1	0.996	0	1	RPL30
0	0.192642754142028	1	0.997	0	1	RPL10
0	0.537144225566234	1	0.998	0	1	B2M
0	2.1695823899766	0.788	0.208	0	2	CD8A
0	0.643145389242981	0.937	0.393	0	2	NKG7
0	1.3845059594756	0.943	0.472	0	2	CCL5
0	1.42989823685957	0.81	0.342	0	2	GZMA
0	1.53851455045568	0.638	0.173	0	2	CD8B
0	1.30190830619805	0.889	0.439	0	2	CD3D
0	2.11550571886004	0.718	0.27	0	2	NR4A2
0	1.04237465757536	0.889	0.444	0	2	CST7
0	1.8215499331068	0.79	0.366	0	2	CD69
0	2.17463114216255	0.747	0.325	0	2	TNFAIP3
0	0.912997507805453	0.961	0.551	0	2	CD3E
0	2.37971066490174	0.752	0.345	0	2	DUSP2
0	1.94358360629459	0.77	0.385	0	2	CXCR4
0	1.48990197760682	0.536	0.165	0	2	GZMB
0	1.1065022504851	0.728	0.358	0	2	CD3G
0	1.107311577893	0.816	0.46	0	2	CD7
0	0.937292423887387	0.813	0.461	0	2	CD2
0	0.309141524369218	0.719	0.368	0	2	CTSW
0	1.48917652340595	0.546	0.199	0	2	GZMK
0	1.70938476949373	0.696	0.355	0	2	CCL4
0	0.635235807960809	0.952	0.613	0	2	IL32
0	0.743769639622674	0.549	0.218	0	2	GZMH
0	1.9407202150817	0.566	0.238	0	2	RGS1
0	0.43585432664013	0.599	0.28	0	2	PRF1
0	1.87504183595391	0.753	0.44	0	2	DNAJB1
0	0.760916453549005	0.681	0.373	0	2	GZMM
0	1.2011100127516	0.786	0.49	0	2	DUSP1
0	1.59731691546832	0.549	0.254	0	2	CREM
0	1.22366637234131	0.729	0.455	0	2	BTG2
0	0.661197043524693	0.95	0.681	0	2	PTPRCAP
0	0.871760042190345	0.753	0.486	0	2	STK17A
0	0.787320205703488	0.5	0.234	0	2	IL2RB
0	1.30985318164396	0.881	0.629	0	2	JUNB
0	0.85554698562903	0.835	0.588	0	2	RARRES3
0	1.39678715098588	0.821	0.578	0	2	SRSF7
0	1.30065191751852	0.602	0.361	0	2	DDIT4
0	1.35858618522197	0.88	0.648	0	2	ZFP36
0	0.488085003502904	0.578	0.365	0	2	SPOCK2
0	1.03346572052026	0.314	0.104	0	2	XCL1
0	0.86686541524384	0.646	0.45	0	2	NFKBIA
0	0.936275856361016	0.607	0.422	0	2	SLC2A3
0	0.69473181857606	0.288	0.114	0	2	XCL2
0	0.385892158055538	0.917	0.744	0	2	IFITM1
0	0.727282812508125	0.883	0.71	0	2	HCST
0	0.184166362111334	0.335	0.166	0	2	GNLY
0	0.469537256010322	0.437	0.271	0	2	KLRB1
0	0.811160052645777	0.268	0.109	0	2	ICOS
0	0.285170687502395	0.458	0.299	0	2	TRBC1
0	1.42356320833266	0.897	0.744	0	2	ZFP36L2
0	0.276467059282596	0.368	0.219	0	2	HOPX
0	0.735472376929796	0.361	0.225	0	2	BIRC3
0	1.07488310875095	0.196	0.067	0	2	KLRC1
0	0.651787758727648	0.742	0.614	0	2	COTL1
0	0.20785483824596	0.332	0.206	0	2	MATK
0	0.31434859141082	0.373	0.262	0	2	CMC1
0	0.417726290656012	0.672	0.57	0	2	IER2
0	0.943471202866784	0.973	0.876	0	2	BTG1
0	0.47532704635317	0.188	0.104	0	2	CCL3L1
0	0.235764309088617	0.851	0.767	0	2	IFITM2
0	0.112119662751236	0.272	0.189	0	2	CD83
0	0.539152909308452	0.919	0.838	0	2	SARAF
0	0.888576747323256	0.941	0.867	0	2	HSPA8
0	0.250763653687934	0.31	0.255	0	2	NAMPT
0	0.725711362120536	0.962	0.93	0	2	GAPDH
0	0.182562809957526	0.582	0.554	0	2	LITAF
0	0.662711325723804	0.99	0.963	0	2	HLA-A
0	0.570652344019329	0.991	0.966	0	2	EIF1
