original_qc	scdesign3_simulated	cluster	total_cells	source_balance_score
3339	13444	0	16783	0.198951319787881
2760	11449	1	14209	0.194243085368428
1798	7279	2	9077	0.198083067092652
1787	7022	3	8809	0.202860710636849
1147	6615	4	7762	0.147771192991497
1619	5981	5	7600	0.213026315789474
1226	4656	6	5882	0.208432505950357
1003	4059	7	5062	0.19814302647175
871	3421	8	4292	0.202935694315005
794	3041	9	3835	0.207040417209909
629	2612	10	3241	0.194075902499229
563	2309	11	2872	0.196030640668524
397	1540	12	1937	0.204956117707796
254	969	13	1223	0.207686017988553
101	741	14	842	0.119952494061758
301	525	15	826	0.364406779661017
154	643	16	797	0.193224592220828
337	13	17	350	0.0371428571428571
64	257	18	321	0.199376947040498
