cluster	marker_panel	score	genes_present
0	Epithelial/Tumor	0.0314260135842919	EPCAM,KRT8,KRT18,KRT19
1	Epithelial/Tumor	0.0249058318264068	EPCAM,KRT8,KRT18,KRT19
10	Epithelial/Tumor	0.0294720565674844	EPCAM,KRT8,KRT18,KRT19
11	Epithelial/Tumor	0.0134801370170145	EPCAM,KRT8,KRT18,KRT19
12	Epithelial/Tumor	0.0863039916338934	EPCAM,KRT8,KRT18,KRT19
13	Epithelial/Tumor	0.739842186696001	EPCAM,KRT8,KRT18,KRT19
14	Epithelial/Tumor	0.0737982804035562	EPCAM,KRT8,KRT18,KRT19
15	Epithelial/Tumor	0.0850574189609196	EPCAM,KRT8,KRT18,KRT19
16	Epithelial/Tumor	0.498906808349096	EPCAM,KRT8,KRT18,KRT19
17	Epithelial/Tumor	0.00137711124086776	EPCAM,KRT8,KRT18,KRT19
18	Epithelial/Tumor	0.047685135952111	EPCAM,KRT8,KRT18,KRT19
2	Epithelial/Tumor	0.083325656543128	EPCAM,KRT8,KRT18,KRT19
3	Epithelial/Tumor	0.0710690060485727	EPCAM,KRT8,KRT18,KRT19
4	Epithelial/Tumor	0.0145571609479905	EPCAM,KRT8,KRT18,KRT19
5	Epithelial/Tumor	0.0362562946789871	EPCAM,KRT8,KRT18,KRT19
6	Epithelial/Tumor	0.0486897367755211	EPCAM,KRT8,KRT18,KRT19
7	Epithelial/Tumor	0.0662345681800222	EPCAM,KRT8,KRT18,KRT19
8	Epithelial/Tumor	0.0554211864739418	EPCAM,KRT8,KRT18,KRT19
9	Epithelial/Tumor	0.0146324950439015	EPCAM,KRT8,KRT18,KRT19
0	T cell	2.01653182734935	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
1	T cell	2.90054362518177	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
10	T cell	0.157417111642066	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
11	T cell	0.928413490562823	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
12	T cell	0.0461237981459938	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
13	T cell	0.0749045268196613	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
14	T cell	2.58124792610869	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
15	T cell	0.238731898547991	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
16	T cell	0.0124054809354304	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
17	T cell	0.0148729763690485	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
18	T cell	0.356841119656432	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
2	T cell	2.81183273808392	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
3	T cell	2.18322258347818	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
4	T cell	0.065160892546595	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
5	T cell	0.0490219205980489	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
6	T cell	1.35540068758435	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
7	T cell	0.00338103102426366	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
8	T cell	0.00380251797708846	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
9	T cell	1.10206275185607	CD3D,CD3E,CD2,IL7R,CD8A,CD8B
0	NK cell	0.266974143411975	NKG7,GNLY,PRF1,GZMB,KLRD1,KLRB1,XCL1,XCL2
1	NK cell	1.56720113334181	NKG7,GNLY,PRF1,GZMB,KLRD1,KLRB1,XCL1,XCL2
10	NK cell	0.0876232792560736	NKG7,GNLY,PRF1,GZMB,KLRD1,KLRB1,XCL1,XCL2
11	NK cell	2.63890708192658	NKG7,GNLY,PRF1,GZMB,KLRD1,KLRB1,XCL1,XCL2
12	NK cell	0.024086473855179	NKG7,GNLY,PRF1,GZMB,KLRD1,KLRB1,XCL1,XCL2
