SYMBOL	ENTREZID
LTB	4050
EEF1A1	1915
RPL32	6161
RPL11	6135
LDHB	3945
RPL10	6134
RPL13	6137
RPL34	6164
RPS12	6206
RPS8	6202
RPL30	6156
RPL5	6125
RPS3A	6189
TPT1	7178
RPL19	6143
RPS25	6230
RPL14	9045
RPS28	6234
RPS18	6222
RPL37	6167
RPS6	6194
RPS15A	6210
RPL18A	6142
RPL36	25873
RPL18	6141
RPS3	6188
RPL39	6170
RPL35A	6165
RPL29	6159
RPS27A	6233
RPS14	6208
RPS21	6227
RPL3	6122
RPS23	6228
IL7R	3575
RPS13	6207
RPS15	6209
RPS4X	6191
RPSA	3921
RPL10A	4736
RPL8	6132
RPS5	6193
RPS2	6187
RPL9	6133
EEF1G	1937
RPS27	6232
RPL4	6124
RPL22	6146
RPL6	6128
RACK1	10399
RPL28	6158
EEF2	1938
RPL21	6144
FXYD5	53827
RPL17	6139
RPLP2	6181
RPL12	6136
EEF1B2	1933
RPL26	6154
LEF1	51176
RPS7	6201
RPS16	6217
GIMAP7	168537
RPL24	6152
RPS29	6235
KLF2	10365
NACA	4666
RPL7A	6130
PABPC1	26986
LINC00861	100130231
FLT3LG	2323
MAL	4118
RPLP0	6175
TCF7	6932
RPL23A	6147
NOP53	29997
RPS9	6203
NPM1	4869
SELL	6402
CD3E	916
NOSIP	51070
RPLP1	6176
AQP3	360
FAU	2197
SARAF	51669
EIF3E	3646
RPL15	6138
RPL38	6169
RPL7	6129
RPL37A	6168
IFITM1	8519
CCR7	1236
IL32	9235
RPL13A	23521
RPL36A	6173
TMEM123	114908
GSTK1	373156
TRAF3IP3	80342
BTF3	689
RPS19	6223
CD52	1043
CISH	1154
RPL27	6155
RPL31	6160
GIMAP1	170575
EIF3F	8665
UBA52	7311
GIMAP4	55303
TRAT1	50852
TOMM7	54543
HINT1	3094
RPL35	11224
PIM1	5292
C12orf57	113246
RCAN3	11123
CD3D	915
EEF1D	1936
ETS1	2113
S1PR1	1901
CAMK4	814
LIMD2	80774
ARHGAP15	55843
RPL41	6171
THEM4	117145
EIF3L	51386
RPS10	6204
PCED1B	91523
PLSCR3	57048
RIPOR2	9750
DGKA	1606
PIM2	11040
INPP4B	8821
HNRNPA1	3178
MYL12A	10627
CD3G	917
EIF3H	8667
ADD3	120
ANP32B	10541
CD40LG	959
CD5	921
EIF4B	1975
SPOCK2	9806
FYB1	2533
LIME1	54923
GIMAP5	55340
CYLD	1540
LCK	3932
CD27	939
CNN2	1265
LDLRAP1	26119
PIK3IP1	113791
RPS26	6231
CDC25B	994
FCMR	9214
ACAP1	9744
RPS24	6229
TXNIP	10628
TRADD	8717
S1PR4	8698
MYC	4609
COMMD6	170622
SNRPD2	6633
MZT2B	80097
NDFIP1	80762
PFDN5	5204
CD6	923
COX7C	1350
SOD1	6647
PRDX2	7001
MZT2A	653784
LEPROTL1	23484
EIF2S3	1968
SSR2	6746
PLP2	5355
IKZF1	10320
MCUB	55013
SELPLG	6404
TESPA1	9840
LINC02273	100996286
PSIP1	11168
GPSM3	63940
RPL27A	6157
SIT1	27240
SUSD3	203328
FAM107B	83641
EVL	51466
CD37	951
PEBP1	5037
LAT	27040
OCIAD2	132299
PCBP1	5093
ITK	3702
BIN1	274
BCL2	596
TRABD2A	129293
ARL6IP5	10550
APRT	353
RSL1D1	26156
SMDT1	91689
CCND3	896
RPL36AL	6166
TNFAIP8	25816
NSA2	10412
THOC3	84321
PBXIP1	57326
RASA3	22821
SH3YL1	26751
CD247	919
R3HDM4	91300
RASGRP2	10235
CCNI	10983
ISG20	3669
CNBP	7555
ERP29	10961
TC2N	123036
PCBP2	5094
RCSD1	92241
FOXP1	27086
OXNAD1	92106
TMEM204	79652
RPS4Y1	6192
TSHZ2	128553
PNISR	25957
ICAM2	3384
GMFG	9535
UBXN1	51035
SLC25A6	293
PTPRCAP	5790
ICAM3	3385
EIF3K	27335
ZFAS1	441951
CORO1B	57175
TTC39C	125488
RPS11	6205
COX4I1	1327
EPB41	2035
UQCRB	7381
CD2	914
RPS20	6224
ST13	6767
CMPK1	51727
MT-CYB	4519
ITGA6	3655
TNFRSF25	8718
TRAC	28755
TOMM20	9804
EIF3G	8666
UXT	8409
SKAP1	8631
ANXA2R	389289
TBC1D10C	374403
STMN3	50861
NSD3	54904
RGS10	6001
TMSB10	9168
BTG1	694
SNRPN	6638
PHB2	11331
SNHG8	100093630
HSPA8	3312
ABLIM1	3983
CUTA	51596
STK4	6789
ANXA11	311
NDUFB9	4715
CD28	940
RPS17	6218
SYNE2	23224
MAX	4149
EIF3M	10480
C1QBP	708
ABHD14B	84836
TSTD1	100131187
PPA1	5464
MAPKAPK5-AS1	51275
CCNG1	900
EIF3D	8664
DPP4	1803
GRK6	2870
REXO2	25996
PDE3B	5140
PPP1R2	5504
KCNA3	3738
TNFRSF4	7293
ITM2A	9452
RBL2	5934
ZAP70	7535
CD4	920
GTF3A	2971
CRIP2	1397
SF1	7536
MT-ND4L	4539
BCL11B	64919
CYFIP2	26999
RAC2	5880
PTGER2	5732
RHOH	399
SERINC5	256987
ATP6V0E2	155066
CD48	962
LINC01550	388011
LINS1	55180
GYPC	2995
TRBC2	28638
POLR1D	51082
CHMP7	91782
BEX3	27018
SUN2	25777
TECR	9524
TUBA4A	7277
DENND2D	79961
CENPK	64105
CLEC2D	29121
IGBP1	3476
EPHX2	2053
JAK3	3718
SNHG7	84973
FBL	2091
SEMA4D	10507
PRKCA	5578
AP3M2	10947
MAT2B	27430
ARHGDIB	397
TMEM243	79161
ADSL	158
GIMAP2	26157
EIF4A2	1974
CHURC1	91612
IL6ST	3572
TMEM63A	9725
SFXN1	94081
RAN	5901
SLAMF1	6504
EGLN2	112398
YPEL3	83719
VIM	7431
SRSF8	10929
NECAP2	55707
IL6R	3570
KIF2A	3796
OPTN	10133
SESN3	143686
BIN2	51411
MT-ND6	4541
GATA3	2625
RSL24D1	51187
ANKRD12	23253
SYTL1	84958
SKP1	6500
ORAI1	84876
ARHGEF3	50650
MFNG	4242
IL16	3603
MDFIC	29969
NAP1L4	4676
TNFSF8	944
ITM2B	9445
NPDC1	56654
CDC42SE2	56990
P2RY8	286530
PAG1	55824
ANAPC16	119504
PRMT2	3275
ATP1A1	476
LETMD1	25875
EBPL	84650
FBLN7	129804
TRAPPC6A	79090
ARMH1	339541
UBQLN2	29978
ITGA4	3676
CALM1	801
HMOX2	3163
LINC00649	100506334
FNTA	2339
APEX1	328
C19orf53	28974
RPL23	9349
CORO1A	11151
IMPDH2	3615
CMTM8	152189
ZNF862	643641
FKBP5	2289
RIC3	79608
SATB1	6304
GLG1	2734
TAGAP	117289
LBH	81606
ITGB1	3688
OXA1L	5018
RHOF	54509
ARID5B	84159
BLOC1S4	55330
STK38	11329
MHENCR	100505771
BEX2	84707
VPS51	738
CYTH1	9267
FGD3	89846
EPC1	80314
IL27RA	9466
SMCHD1	23347
ZNF101	94039
TMC8	147138
UXS1	80146
GCC2	9648
PRKCQ	5588
CRBN	51185
C16orf54	283897
CSGALNACT1	55790
GPR183	1880
RASGRP1	10125
GIMAP6	474344
SLC38A1	81539
ALKBH7	84266
PYURF	100996939
ARL4C	10123
EIF2A	83939
CHRM3-AS2	100506915
PSMB8-AS1	100507463
SNRPA	6626
URI1	8725
CNST	163882
DAZAP2	9802
MALAT1	378938
TACC3	10460
UBE2D2	7322
SPTAN1	6709
MLLT3	4300
CYTIP	9595
RETREG1	54463
SRP9	6726
