gene	cluster	rank	score	logfoldchange	pval	pval_adj	n_cells	dominant_existing_celltype	classic_marker_based_label	proposed_global_annotation	broad_annotation	is_technical	neg_log10_padj	de_status	ENTREZID
MS4A1	8	2	46.1614265441895	10.7866725921631	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	931
CD79A	8	1	46.6612358093262	6.87539434432983	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	973
HLA-DRA	8	5	42.2217292785645	4.5838680267334	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	3122
HLA-DQA1	8	6	41.1291694641113	4.22313690185547	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	3117
CD74	8	4	43.9656295776367	3.87636160850525	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	972
HLA-DRB1	8	7	38.3092460632324	3.4701042175293	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	3123
CD37	8	3	44.8842239379883	2.85682916641235	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	951
HLA-DPB1	8	8	36.7610549926758	2.98153400421143	7.74226619224496e-296	2.63004782550575e-292	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	291.580036354109	up	3115
HLA-DQB1	8	9	36.1455993652344	3.59138083457947	4.36257570626049e-286	1.31730397103706e-282	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	281.880313998985	up	3119
HLA-DPA1	8	10	35.994873046875	2.92727589607239	1.00624618770924e-283	2.73457463971863e-280	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	279.563110218138	up	3113
CD79B	8	11	35.9008598327637	5.11997318267822	2.96168823581023e-282	7.31698540876171e-279	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	278.135667811018	up	974
BANK1	8	12	35.4986991882324	7.95558309555054	5.14807618331974e-276	1.16586765298248e-272	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	271.93335074704	up	55024
VPREB3	8	13	33.7630157470703	8.90453243255615	6.88724906690318e-250	1.24778587094774e-246	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	245.903859936324	up	29802
HVCN1	8	14	31.926233291626	4.71444225311279	1.15500037113629e-223	1.56941450429999e-220	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	219.804262338022	up	84329
NCF1	8	15	31.188627243042	2.74243307113647	1.51970872602898e-213	1.96664782564588e-210	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	209.706273403717	up	653361
MEF2C	8	16	30.9363746643066	3.52521276473999	3.8747759788177e-210	4.57830052175435e-207	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	206.339295703436	up	4208
RALGPS2	8	17	30.3497447967529	5.83844137191772	2.53208320992171e-202	2.86716222136802e-199	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	198.542547734381	up	55103
LINC00926	8	18	30.1282501220703	9.18531131744385	2.06756799644105e-199	2.24752911485128e-196	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	195.648294673638	up	283663
CD19	8	19	29.6659545898438	7.58658266067505	2.111877525335e-193	2.20739937032708e-190	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	189.65611908567	up	930
HLA-DMA	8	22	28.6689624786377	2.64114189147949	9.30361866894158e-181	7.66167093779262e-178	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	177.115676504529	up	3108
IGHM	8	23	28.4943351745605	6.3534460067749	1.37692065090578e-178	1.10056457673575e-175	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	174.958384469697	up	3507
FCMR	8	24	28.326473236084	2.51701760292053	1.63165601633792e-176	1.26691096857141e-173	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	172.897253903835	up	9214
