gene	cluster	rank	score	logfoldchange	pval	pval_adj	n_cells	dominant_existing_celltype	classic_marker_based_label	proposed_global_annotation	broad_annotation	is_technical	neg_log10_padj	de_status	ENTREZID
JCHAIN	7	1	52.6561622619629	11.6179761886597	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	3512
MS4A1	8	2	46.1614265441895	10.7866725921631	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	931
IGHA1	7	5	45.0473403930664	10.1011123657227	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	3493
DERL3	7	4	49.4624862670898	8.40528202056885	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	91319
MZB1	7	3	51.434627532959	8.35794639587402	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	51237
IGLL5	7	12	37.7793197631836	8.25563716888428	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	100423062
CD79A	8	1	46.6612358093262	6.87539434432983	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	973
CD79A	7	6	43.9880294799805	5.28743410110474	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	973
HLA-DRA	8	5	42.2217292785645	4.5838680267334	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	3122
HLA-DQA1	8	6	41.1291694641113	4.22313690185547	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	3117
CD74	8	4	43.9656295776367	3.87636160850525	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	972
SSR4	7	2	51.8746376037598	3.78320598602295	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	6748
PRDX4	7	10	38.234130859375	3.69776916503906	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	10549
FKBP11	7	8	39.2588844299316	3.57570123672485	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	51303
SEC11C	7	7	43.662483215332	3.52970051765442	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	90701
HLA-DRB1	8	7	38.3092460632324	3.4701042175293	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	3123
CD37	8	3	44.8842239379883	2.85682916641235	0	0	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	300	up	951
FKBP2	7	11	38.1915283203125	2.8420717716217	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	2286
HSP90B1	7	9	38.4935913085938	2.59794473648071	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	7184
HLA-DPB1	8	8	36.7610549926758	2.98153400421143	7.74226619224496e-296	2.63004782550575e-292	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	291.580036354109	up	3115
TNFRSF17	7	13	36.1164855957031	7.9382791519165	1.24999991397264e-285	3.2352378725829e-283	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	282.490093782089	up	608
HLA-DQB1	8	9	36.1455993652344	3.59138083457947	4.36257570626049e-286	1.31730397103706e-282	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	281.880313998985	up	3119
HLA-DPA1	8	10	35.994873046875	2.92727589607239	1.00624618770924e-283	2.73457463971863e-280	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	279.563110218138	up	3113
CD79B	8	11	35.9008598327637	5.11997318267822	2.96168823581023e-282	7.31698540876171e-279	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	278.135667811018	up	974
BANK1	8	12	35.4986991882324	7.95558309555054	5.14807618331974e-276	1.16586765298248e-272	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	271.93335074704	up	55024
VPREB3	8	13	33.7630157470703	8.90453243255615	6.88724906690318e-250	1.24778587094774e-246	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	245.903859936324	up	29802
SSR3	7	14	33.2044143676758	2.33703804016113	9.2968019893614e-242	1.81762511412148e-239	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	238.740495685282	up	6747
IGKC	7	15	32.6075859069824	8.06711196899414	3.2019952772251e-233	6.08513452124961e-231	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	230.215729816581	up	3514
HVCN1	8	14	31.926233291626	4.71444225311279	1.15500037113629e-223	1.56941450429999e-220	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	219.804262338022	up	84329
SPCS1	7	16	31.225700378418	1.83441662788391	4.77286717275094e-214	8.10671489291747e-212	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	211.091155100525	up	28972
NCF1	8	15	31.188627243042	2.74243307113647	1.51970872602898e-213	1.96664782564588e-210	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	209.706273403717	up	653361
HERPUD1	7	17	31.1099452972412	2.49119663238525	1.76708026387718e-212	2.96433168216829e-210	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	209.528073204311	up	9709
MEF2C	8	16	30.9363746643066	3.52521276473999	3.8747759788177e-210	4.57830052175435e-207	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	206.339295703436	up	4208
XBP1	7	18	30.6432132720947	2.55816960334778	3.25443948268474e-206	5.29596690906829e-204	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	203.276054737174	up	7494
