Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
B/Plasma	GO:0050853	B cell receptor signaling pathway	29/318	70/15651	0.414285714285714	20.3898921832884	23.4144474534253	4.50792025710729e-31	2.57221929870542e-27	2.57221929870542e-27	FCMR/IGHD/PTPN6/CD72/IGLC3/FCGR2B/IGHG4/CD79A/BLK/IGHM/CD38/IGKC/SYK/STAP1/MEF2C/BLNK/MS4A1/PLCG2/IGHA2/BANK1/CD79B/CD19/LYN/LAT2/BTK/IGHG1/IGHA1/IGHG3/CD22	29
B/Plasma	GO:0042113	B cell activation	38/318	221/15651	0.171945701357466	8.46264833945189	16.0902693365725	1.63228435525518e-24	4.65690726554303e-21	4.65690726554303e-21	POU2AF1/PAX5/LAPTM5/CD180/CD27/FCRL1/FCGR2B/CXCR5/SPIB/DNAJB9/CD79A/IGHM/ZFP36L1/TNFRSF13C/XBP1/CD38/SYK/MEF2C/BLNK/MS4A1/FCRL5/PLCG2/CD74/IRF8/BANK1/CD40/MZB1/SLC39A7/CD79B/CD19/LYN/SYVN1/LAT2/TPD52/BTK/GAPT/TNFRSF13B/CD22	38
B/Plasma	GO:0050851	antigen receptor-mediated signaling pathway	36/318	196/15651	0.183673469387755	9.03985367731999	16.3116854816219	2.70551429079033e-24	5.14588818108321e-21	5.14588818108321e-21	LAPTM5/HLA-DPB1/FCMR/IGHD/PTPN6/CD72/IGLC3/FCGR2B/IGHG4/CCR7/CD79A/BLK/HLA-DQB1/IGHM/PDE4B/CD38/HLA-DRB1/IGKC/SYK/EZR/STAP1/MEF2C/BLNK/MS4A1/PLCG2/IGHA2/BANK1/CD79B/CD19/LYN/LAT2/BTK/IGHG1/IGHA1/IGHG3/CD22	36
B/Plasma	GO:0002768	immune response-regulating cell surface receptor signaling pathway	41/318	359/15651	0.114206128133705	5.62088085352394	12.7554860864236	1.75743597077232e-19	2.50698241230671e-16	2.50698241230671e-16	LAPTM5/HLA-DPB1/FCMR/IGHD/PTPN6/CD72/IGLC3/FCGR2B/IGHG4/CCR7/CD79A/BLK/HLA-DQB1/IGHM/PDE4B/CD38/HLA-DRB1/IGKC/SYK/EZR/STAP1/MEF2C/BLNK/MS4A1/CD24/LILRA4/PLCG2/IGHA2/BANK1/CD40/CD79B/CD19/LYN/FCER2/LAT2/BTK/IGHG1/SCIMP/IGHA1/IGHG3/CD22	41
B/Plasma	GO:0002429	immune response-activating cell surface receptor signaling pathway	38/318	314/15651	0.121019108280255	5.9561951688499	12.7761551869306	5.52741850223882e-19	6.30788999475494e-16	6.30788999475494e-16	LAPTM5/HLA-DPB1/FCMR/IGHD/PTPN6/CD72/IGLC3/FCGR2B/IGHG4/CCR7/CD79A/BLK/HLA-DQB1/IGHM/PDE4B/CD38/HLA-DRB1/IGKC/SYK/EZR/STAP1/MEF2C/BLNK/MS4A1/PLCG2/IGHA2/BANK1/CD79B/CD19/LYN/FCER2/LAT2/BTK/IGHG1/SCIMP/IGHA1/IGHG3/CD22	38
B/Plasma	GO:0002757	immune response-activating signaling pathway	47/318	500/15651	0.094	4.62639622641509	11.8685255838285	9.98307808440597e-19	9.49390725827007e-16	9.49390725827007e-16	LAPTM5/HLA-DPB1/FCMR/IGHD/PTPN6/CD72/IGLC3/IRF7/BIRC3/FCGR2B/IGHG4/CCR7/CD79A/BLK/HLA-DQB1/IGHM/PDE4B/CD38/APP/HLA-DRB1/IGKC/SYK/EZR/STAP1/MEF2C/BLNK/MS4A1/LILRA4/PLCG2/NOP53/IGHA2/HSP90B1/BANK1/CD79B/TIFA/TLR10/CD19/LYN/FCER2/LAT2/BTK/IGHG1/SCIMP/IGHA1/IGHG3/HSPA1B/CD22	47
B/Plasma	GO:0002399	MHC class II protein complex assembly	11/318	14/15651	0.785714285714286	38.6704851752022	20.3069956865121	7.07544333839105e-17	5.04655996110742e-14	5.04655996110742e-14	HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DOB/HLA-DRB5/HLA-DQB1/HLA-DRB1/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DMA	11
B/Plasma	GO:0002503	peptide antigen assembly with MHC class II protein complex	11/318	14/15651	0.785714285714286	38.6704851752022	20.3069956865121	7.07544333839105e-17	5.04655996110742e-14	5.04655996110742e-14	HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DOB/HLA-DRB5/HLA-DQB1/HLA-DRB1/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DMA	11
B/Plasma	GO:0002396	MHC protein complex assembly	12/318	19/15651	0.631578947368421	31.0844091360477	18.8959258768724	1.78704340121574e-16	1.0196869647337e-13	1.0196869647337e-13	HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DOB/TAPBPL/HLA-DRB5/HLA-DQB1/HLA-DRB1/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DMA	12
B/Plasma	GO:0002501	peptide antigen assembly with MHC protein complex	12/318	19/15651	0.631578947368421	31.0844091360477	18.8959258768724	1.78704340121574e-16	1.0196869647337e-13	1.0196869647337e-13	HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DOB/TAPBPL/HLA-DRB5/HLA-DQB1/HLA-DRB1/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DMA	12
