Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
B/Plasma | ref:B cell_C3	GO:0050853	B cell receptor signaling pathway	27/226	70/15651	0.385714285714286	26.7115676359039	26.0962868088968	4.41347123879886e-32	2.51832668885863e-28	2.51832668885863e-28	FCMR/IGHD/PTPN6/BANK1/LYN/FCGR2B/CD72/LAT2/IGHG2/IGHM/SYK/STAP1/BLNK/IGKC/MS4A1/IGLC3/CD79B/PLCG2/CD22/MEF2C/CD19/FOXP1/BLK/CD79A/PRKCB/BTK/IGHA1	27
B/Plasma | ref:B cell_C3	GO:0042113	B cell activation	37/226	221/15651	0.167420814479638	11.594261802747	19.1991799366978	6.78832718518024e-29	1.93670974593192e-25	1.93670974593192e-25	INPP5D/PAX5/LAPTM5/CD180/BANK1/IRF8/LYN/FCGR2B/LAT2/IGHM/SYK/CR2/ZFP36L1/TNFRSF13C/BLNK/MS4A1/FCRL1/CD79B/PLCG2/CXCR5/TNFRSF13B/CD22/MEF2C/CD19/CD74/CD79A/CD40/SYVN1/HHEX/PRKCB/GAPT/SPIB/CCR6/TPD52/BTK/POU2AF1/BTLA	37
B/Plasma | ref:B cell_C3	GO:0050851	antigen receptor-mediated signaling pathway	35/226	196/15651	0.178571428571429	12.3664664981037	19.3828578775869	2.32404011510305e-28	4.420324298926e-25	4.420324298926e-25	INPP5D/LAPTM5/FCMR/IGHD/PTPN6/BANK1/LYN/FCGR2B/CD72/HLA-DQB1/LAT2/HLA-DRB1/IGHG2/IGHM/SYK/STAP1/CCR7/PDE4B/BLNK/IGKC/EZR/MS4A1/IGLC3/CD79B/PLCG2/CD22/HLA-DPB1/MEF2C/CD19/FOXP1/BLK/CD79A/PRKCB/BTK/IGHA1	35
B/Plasma | ref:B cell_C3	GO:0002768	immune response-regulating cell surface receptor signaling pathway	41/226	359/15651	0.114206128133705	7.90902704168413	16.0298986414521	2.93149577171792e-25	4.18177871835562e-22	4.18177871835562e-22	INPP5D/LAPTM5/FCER2/FCMR/IGHD/PTPN6/BANK1/LYN/FCGR2B/CD72/HLA-DQB1/LAT2/HLA-DRB1/IGHG2/IGHM/SYK/STAP1/CCR7/CR2/PDE4B/BLNK/IGKC/EZR/MS4A1/IGLC3/CD79B/PLCG2/CD22/HLA-DPB1/MEF2C/CD19/CD24/FOXP1/BLK/CD79A/CD40/SCIMP/PRKCB/BTK/BTLA/IGHA1	41
B/Plasma | ref:B cell_C3	GO:0002429	immune response-activating cell surface receptor signaling pathway	38/226	314/15651	0.121019108280255	8.38084098979764	15.9918706578866	2.37941929035326e-24	2.71539329415114e-21	2.71539329415114e-21	INPP5D/LAPTM5/FCER2/FCMR/IGHD/PTPN6/BANK1/LYN/FCGR2B/CD72/HLA-DQB1/LAT2/HLA-DRB1/IGHG2/IGHM/SYK/STAP1/CCR7/CR2/PDE4B/BLNK/IGKC/EZR/MS4A1/IGLC3/CD79B/PLCG2/CD22/HLA-DPB1/MEF2C/CD19/FOXP1/BLK/CD79A/SCIMP/PRKCB/BTK/IGHA1	38
B/Plasma | ref:B cell_C3	GO:0002757	immune response-activating signaling pathway	42/226	500/15651	0.084	5.81718584070797	13.2512411778432	1.1630270869506e-20	1.10603875969002e-17	1.10603875969002e-17	NOP53/INPP5D/LAPTM5/FCER2/FCMR/IGHD/AIM2/PTPN6/BANK1/LYN/FCGR2B/CD72/HLA-DQB1/LAT2/HLA-DRB1/IGHG2/IGHM/SYK/STAP1/CCR7/CR2/PDE4B/BIRC3/BLNK/IGKC/EZR/MS4A1/IGLC3/CD79B/PLCG2/CD22/HLA-DPB1/MEF2C/CD19/FOXP1/BLK/CD79A/TLR10/SCIMP/PRKCB/BTK/IGHA1	42
B/Plasma | ref:B cell_C3	GO:0002399	MHC class II protein complex assembly	11/226	14/15651	0.785714285714286	54.4124525916561	24.2007387970457	1.56303606670788e-18	1.1148354745794e-15	1.1148354745794e-15	HLA-DOB/HLA-DQA1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DOA/HLA-DRB5/HLA-DPB1/HLA-DMB/HLA-DRA/HLA-DMA	11
B/Plasma | ref:B cell_C3	GO:0002503	peptide antigen assembly with MHC class II protein complex	11/226	14/15651	0.785714285714286	54.4124525916561	24.2007387970457	1.56303606670788e-18	1.1148354745794e-15	1.1148354745794e-15	HLA-DOB/HLA-DQA1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DOA/HLA-DRB5/HLA-DPB1/HLA-DMB/HLA-DRA/HLA-DMA	11
B/Plasma | ref:B cell_C3	GO:0002694	regulation of leukocyte activation	39/226	499/15651	0.0781563126252505	5.41249756149467	12.1254698067314	4.06126960305672e-18	2.57484492833796e-15	2.57484492833796e-15	HLA-DOB/INPP5D/IL4R/LAPTM5/SMARCB1/CD69/HLA-DQA1/PTPN6/BANK1/LYN/HLA-DPA1/FCGR2B/IL16/HLA-DQB1/RIPOR2/HLA-DRB1/SYK/STAP1/CCR7/ZFP36L1/HLA-DOA/CD55/TMEM131L/TNFRSF13C/HLA-DRB5/TNFRSF13B/CD22/HLA-DPB1/MEF2C/RHOH/CD19/CD24/CD74/HLA-DMB/HLA-DRA/HLA-DMA/BTK/BTLA/HSPH1	39
B/Plasma | ref:B cell_C3	GO:0030183	B cell differentiation	21/226	113/15651	0.185840707964602	12.8698801785574	15.3280462553687	9.58631027591756e-18	5.46994864343856e-15	5.46994864343856e-15	INPP5D/PAX5/LAPTM5/IRF8/FCGR2B/IGHM/SYK/CR2/ZFP36L1/BLNK/MS4A1/CD79B/PLCG2/CD19/CD79A/SYVN1/HHEX/SPIB/TPD52/BTK/POU2AF1	21
B/Plasma | ref:B cell_C3	GO:0051249	regulation of lymphocyte activation	36/226	437/15651	0.0823798627002288	5.70498774832425	12.0746990045349	1.69440641822224e-17	8.78934820216008e-15	8.78934820216008e-15	HLA-DOB/INPP5D/LAPTM5/SMARCB1/CD69/HLA-DQA1/PTPN6/BANK1/LYN/HLA-DPA1/FCGR2B/HLA-DQB1/RIPOR2/HLA-DRB1/SYK/CCR7/ZFP36L1/HLA-DOA/CD55/TMEM131L/TNFRSF13C/HLA-DRB5/TNFRSF13B/CD22/HLA-DPB1/MEF2C/RHOH/CD19/CD24/CD74/HLA-DMB/HLA-DRA/HLA-DMA/BTK/BTLA/HSPH1	36
B/Plasma | ref:B cell_C3	GO:0030098	lymphocyte differentiation	32/226	348/15651	0.0919540229885057	6.36801953005798	12.257847789213	5.18382053561011e-17	2.46490666468261e-14	2.46490666468261e-14	INPP5D/PAX5/LAPTM5/SMARCB1/CD69/IRF8/FCGR2B/HLA-DRB1/IGHM/SYK/CCR7/CR2/ZFP36L1/TMEM131L/BLNK/MS4A1/CD79B/PLCG2/LY9/RHOH/CD19/FOXP1/CD74/CD79A/SYVN1/HHEX/HLA-DRA/SPIB/CCR6/TPD52/BTK/POU2AF1	32
B/Plasma | ref:B cell_C3	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	12/226	25/15651	0.48	33.2410619469027	19.5278412808546	2.70308382426901e-16	1.15876040985566e-13	1.15876040985566e-13	HLA-DOB/HLA-DQA1/HLA-DPA1/FCGR2B/HLA-DQB1/HLA-DRB1/HLA-DOA/HLA-DRB5/HLA-DPB1/HLA-DMB/HLA-DRA/HLA-DMA	12
B/Plasma | ref:B cell_C3	GO:0002396	MHC protein complex assembly	11/226	19/15651	0.578947368421053	40.0933861201677	20.638190669757	3.04616301223885e-16	1.15876040985566e-13	1.15876040985566e-13	HLA-DOB/HLA-DQA1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DOA/HLA-DRB5/HLA-DPB1/HLA-DMB/HLA-DRA/HLA-DMA	11
B/Plasma | ref:B cell_C3	GO:0002501	peptide antigen assembly with MHC protein complex	11/226	19/15651	0.578947368421053	40.0933861201677	20.638190669757	3.04616301223885e-16	1.15876040985566e-13	1.15876040985566e-13	HLA-DOB/HLA-DQA1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DOA/HLA-DRB5/HLA-DPB1/HLA-DMB/HLA-DRA/HLA-DMA	11
B/Plasma | ref:B cell_C3	GO:1903131	mononuclear cell differentiation	34/226	425/15651	0.08	5.54017699115044	11.4861144637151	3.55018676899762e-16	1.26608535649378e-13	1.26608535649378e-13	INPP5D/PAX5/LAPTM5/SMARCB1/CD69/IRF8/LYN/FCGR2B/HLA-DRB1/IGHM/SYK/CCR7/CR2/ZFP36L1/TMEM131L/BLNK/MS4A1/CD79B/PLCG2/LY9/RHOH/CD19/FOXP1/NPM1/CD74/CD79A/SYVN1/HHEX/HLA-DRA/SPIB/CCR6/TPD52/BTK/POU2AF1	34
B/Plasma | ref:B cell_C3	GO:0046651	lymphocyte proliferation	25/226	220/15651	0.113636363636364	7.86956958970233	12.4206017318059	1.24467184161695e-15	4.17770442839196e-13	4.17770442839196e-13	LAPTM5/CD180/LYN/HLA-DPA1/FCGR2B/RIPOR2/HLA-DRB1/CR2/CD55/TMEM131L/TNFRSF13C/MS4A1/TNFRSF13B/CD22/HLA-DPB1/MEF2C/CD19/CD24/CD74/HLA-DMB/CD79A/CD40/GAPT/BTK/BTLA	25
B/Plasma | ref:B cell_C3	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	12/226	28/15651	0.428571428571429	29.6795195954488	18.385162624238	1.52215118963732e-15	4.82521927115031e-13	4.82521927115031e-13	HLA-DOB/HLA-DQA1/HLA-DPA1/FCGR2B/HLA-DQB1/HLA-DRB1/HLA-DOA/HLA-DRB5/HLA-DPB1/HLA-DMB/HLA-DRA/HLA-DMA	12
B/Plasma | ref:B cell_C3	GO:0032943	mononuclear cell proliferation	25/226	223/15651	0.112107623318386	7.76370094051351	12.3134802304068	1.71541837555098e-15	5.15167223731258e-13	5.15167223731258e-13	LAPTM5/CD180/LYN/HLA-DPA1/FCGR2B/RIPOR2/HLA-DRB1/CR2/CD55/TMEM131L/TNFRSF13C/MS4A1/TNFRSF13B/CD22/HLA-DPB1/MEF2C/CD19/CD24/CD74/HLA-DMB/CD79A/CD40/GAPT/BTK/BTLA	25
