Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
B/Plasma	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	17/133	109/4263	0.155963302752294	4.99903428295509	7.58914145001268	2.5900358890315e-08	1.29501794451575e-06	1.29501794451575e-06	9451/6509/4189/55062/468/1938/7494/58477/28972/3309/7184/10130/5611/60559/9709/1974/10525	17
B/Plasma	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	22/133	196/4263	0.112244897959184	3.59774436090226	6.68105239372247	9.96184641456584e-08	2.49046160364146e-06	2.49046160364146e-06	3117/5777/3665/84159/57823/4261/3431/694/5142/952/3123/969/972/3394/55024/958/8202/3662/2841/81030/3108/3669	22
B/Plasma	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	19/133	194/4263	0.0979381443298969	3.13917525773196	5.47218667411961	6.56232404125012e-06	0.000109372067354169	0.000109372067354169	3122/3117/5777/3112/3665/2213/973/3109/4050/972/3111/3394/9450/958/3662/4067/3002/3108/7163	19
Endothelial/Fibroblast	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	59/200	198/4263	0.297979797979798	6.35143939393939	17.1068970129775	5.69526293196732e-34	2.84763146598366e-32	2.84763146598366e-32	5376/3487/1293/4035/5351/3915/7171/7169/59/10398/1277/4256/966/1292/5479/4638/1278/5159/3678/30008/1289/4313/3688/7076/1282/4323/7070/5270/800/871/5118/813/7078/5654/1284/633/2335/667/1290/4837/3685/4017/11167/1009/1809/1303/7431/5217/10979/2697/10085/1634/2200/6876/7168/6678/3956/1281/3485	59
Endothelial/Fibroblast	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	25/200	141/4263	0.177304964539007	3.77925531914894	7.44530198236997	4.27314428577573e-09	1.06828607144393e-07	1.06828607144393e-07	5376/4781/8613/3915/1277/2274/11030/1278/5159/857/7048/8829/3488/6383/4131/4493/1290/3397/2697/10395/11343/7082/7035/1281/5797	25
Endothelial/Fibroblast	HALLMARK_COAGULATION	HALLMARK_COAGULATION	24/200	136/4263	0.176470588235294	3.76147058823529	7.26090828585249	9.88971738549121e-09	1.6482862309152e-07	1.6482862309152e-07	4035/710/1397/2/6284/4313/7076/4323/5327/1465/11098/716/7450/3075/7078/5654/2934/2335/715/378/5175/2200/6678/55970	24
Endothelial/Fibroblast	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	28/200	195/4263	0.143589743589744	3.06061538461539	6.53464622962116	6.06418749265654e-08	7.58023436582067e-07	7.58023436582067e-07	3728/5747/51148/10398/5819/8910/55742/4313/3688/947/7070/7450/7106/2037/6624/7414/7122/1009/1500/87/5175/8751/81/2200/51776/10174/4192/7082	28
Endothelial/Fibroblast	HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	23/200	194/4263	0.118556701030928	2.52703608247423	4.82952733557617	2.78030694546592e-05	0.000239148910689841	0.000239148910689841	1293/7169/351/1277/1292/9260/1306/4638/3688/2273/1284/2934/1346/1266/1410/3490/165/6649/6876/10174/6678/25937/1281	23
Endothelial/Fibroblast	HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	9/200	36/4263	0.25	5.32875	5.78623330047406	2.86978692827809e-05	0.000239148910689841	0.000239148910689841	5747/351/7076/8829/1290/3685/11167/182/1281	9
Endothelial/Fibroblast	HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	20/200	160/4263	0.125	2.664375	4.76056748460133	4.47235683982577e-05	0.000319454059987555	0.000319454059987555	3489/3315/5747/351/5159/4313/7076/857/5327/7077/7078/2934/2012/3958/633/2149/8682/10410/1634/4000	20
Endothelial/Fibroblast	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	8/200	54/4263	0.148148148148148	3.15777777777778	3.54007483245291	0.00329817689474163	0.0206136055921352	0.0206136055921352	3399/2022/3397/6711/2280/7082/659/25937	8
Endothelial/Fibroblast	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	18/200	200/4263	0.09	1.91835	2.95119649451263	0.00537147598902707	0.0298415332723726	0.0298415332723726	4855/4035/710/6284/966/7076/4323/5327/1465/7077/716/3075/1284/23348/3958/2335/715/308	18
Myeloid/TAM	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	33/193	200/4263	0.165	3.64453367875648	8.34120627901351	2.8786376986798e-11	1.4393188493399e-09	1.4393188493399e-09	59345/5341/4035/712/1520/3988/8754/1512/2771/1514/714/5265/475/6280/2219/51056/5641/3684/3958/2335/2783/2207/7076/4067/1508/5329/341/1509/808/1051/308/7077/2885	33
Myeloid/TAM	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24/193	198/4263	0.121212121212121	2.67734338200659	5.26274675644117	6.74371697935846e-06	0.000168592924483961	0.000168592924483961	5341/3460/388/3553/9308/6446/9592/3164/4814/6648/1052/7127/19/6303/4082/10135/467/5329/1843/2353/8870/597/1051/55332	24
Myeloid/TAM	HALLMARK_COAGULATION	HALLMARK_COAGULATION	16/193	136/4263	0.117647058823529	2.59859798841817	4.1255290966855	0.000358117420022784	0.0059686236670464	0.0059686236670464	1675/5341/4035/712/8754/1512/2/5265/2934/5641/5879/2335/2783/7076/1508/341	16
Myeloid/TAM	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	20/193	198/4263	0.101010101010101	2.2311194850055	3.86269749295658	0.00052299878713149	0.00653748483914363	0.00653748483914363	2014/1536/3460/3553/23166/5025/5724/8685/929/4481/1441/19/719/728/10135/7076/4067/5329/1240/7133	20
Myeloid/TAM	HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	17/193	160/4263	0.10625	2.34685880829016	3.7811114299844	0.000781671435053073	0.00781671435053072	0.00781671435053072	706/3315/3162/388/3553/10410/2934/929/6648/8682/2879/3958/6303/7076/467/8870/7077	17
Myeloid/TAM	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	9/193	73/4263	0.123287671232877	2.72318830293136	3.23351834427785	0.00521028889553462	0.0390372960592301	0.0390372960592301	58191/6282/22809/5641/2171/3958/467/5329/308	9
Myeloid/TAM	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	10/193	87/4263	0.114942528735632	2.53886010362694	3.15766965944766	0.00546522144829221	0.0390372960592301	0.0390372960592301	3162/4055/3460/2/3553/929/1441/1230/7133/2885	10
Myeloid/TAM	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	17/193	196/4263	0.086734693877551	1.91580310880829	2.85812511051416	0.00685784972768635	0.0421002279772837	0.0421002279772837	28959/1520/6696/3553/23643/9935/2022/10457/719/2207/7805/55365/5329/1240/3689/23136/7133	17
Myeloid/TAM	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	17/193	198/4263	0.0858585858585859	1.89645156225467	2.81266054534315	0.00757804103591106	0.0421002279772837	0.0421002279772837	3693/2014/4035/7171/7045/6696/1462/388/79709/667/1601/7431/3956/6303/2335/7076/5329	17
T/NK	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	40/189	194/4263	0.206185567010309	4.65063001145475	11.2086150058802	2.28059244566782e-17	1.14029622283391e-15	1.14029622283391e-15	50852/919/7040/959/2316/5788/915/3458/3133/6351/3702/2268/5552/2833/896/917/7535/3824/4050/3932/2113/3002/3001/27240/940/567/5551/8651/2533/4869/914/916/3560/10225/3105/924/926/3689/925/6352	40
T/NK	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	38/189	198/4263	0.191919191919192	4.32884399551066	10.3305364706382	2.06316599004133e-15	5.15791497510333e-14	5.15791497510333e-14	3659/10365/3726/5341/969/9021/3575/1326/8553/330/6351/1846/1844/9516/7128/4609/7832/3398/4170/4929/9592/4616/1316/1880/10957/7538/23645/6515/22822/694/5142/3725/1843/2354/6352/4792/10209/2353	38
