Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
B/Plasma	Genetic Information Processing	Folding, sorting and degradation	hsa04141	Protein processing in endoplasmic reticulum	41/187	165/7622	0.248484848484848	10.1280829687247	18.7986116928612	9.35149695841637e-31	3.28237543240414e-28	3.28237543240414e-28	9451/3703/3998/1650/58505/51726/27248/10960/51465/51128/468/746/7494/23471/23480/6184/9601/29927/64374/6238/81567/6185/3309/91319/6748/7184/10130/200185/55829/3326/10970/6400/79139/10952/5611/55741/84447/6747/9709/3304/10525	41
B/Plasma	Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	17/187	46/7622	0.369565217391304	15.0632411067194	15.171574466209	1.91568848354055e-16	3.36203328861367e-14	3.36203328861367e-14	3122/3115/3117/3112/3127/608/3119/115650/3123/7852/3109/3111/3113/958/3108/2826/23495	17
B/Plasma	Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	20/187	94/7622	0.212765957446809	8.67220389122767	11.8694488998791	6.28279451004997e-14	7.35086957675846e-12	7.35086957675846e-12	3122/3115/3117/3112/3127/966/3119/1604/952/3123/3109/931/100133941/3111/3113/930/951/2208/3108/933	20
B/Plasma	Human Diseases	Immune disease	hsa05310	Asthma	12/187	26/7622	0.461538461538462	18.8120115178939	14.4275789958413	2.39298547599329e-13	2.09984475518411e-11	2.09984475518411e-11	3122/3115/3117/3112/3127/3119/3123/3109/3111/3113/958/3108	12
B/Plasma	Organismal Systems	Immune system	hsa04612	Antigen processing and presentation	17/187	71/7622	0.23943661971831	9.75928297055058	11.7593087543804	6.6442275532954e-13	4.66424774241337e-11	4.66424774241337e-11	3122/3115/3117/3112/55080/3127/4261/3119/3123/3109/972/3309/3111/3326/3113/3108/3304	17
B/Plasma	Human Diseases	Immune disease	hsa05330	Allograft rejection	13/187	36/7622	0.361111111111111	14.7186571598336	13.0840661672732	1.08521538968713e-12	6.3485100296697e-11	6.3485100296697e-11	3122/3115/3117/3112/3127/3119/3123/3109/3111/3113/958/3002/3108	13
B/Plasma	Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	13/187	37/7622	0.351351351351351	14.3208556149733	12.8807599936243	1.63750847500255e-12	8.21093535322707e-11	8.21093535322707e-11	3122/3115/3117/3112/3127/3119/3123/3109/3111/3113/958/3002/3108	13
B/Plasma	Organismal Systems	Immune system	hsa04662	B cell receptor signaling pathway	17/187	80/7622	0.2125	8.66136363636364	10.9243122009253	5.36943446369681e-12	2.35583937094698e-10	2.35583937094698e-10	5777/971/2213/973/640/25780/3725/6850/29760/23547/5336/55024/974/930/4067/695/933	17
B/Plasma	Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	12/187	39/7622	0.307692307692308	12.5413410119292	11.4592012441714	7.33203321011724e-11	2.85949295194573e-09	2.85949295194573e-09	3122/3115/3117/3112/3127/3119/3123/3109/3111/3113/3002/3108	12
B/Plasma	Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	23/187	186/7622	0.123655913978495	5.04013570237479	8.84645009512258	1.11382923135706e-10	3.90954060206327e-09	3.90954060206327e-09	3122/3115/3117/3112/3665/55080/3127/3119/3725/3123/6850/3109/29760/5336/3111/3113/958/3454/930/4067/2208/3108/695	23
