Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
B/Plasma	R-HSA-9918487	Dengue Virus Genome Translation and Replication	18/216	82/10248	0.219512195121951	10.4146341463415	12.5593395893868	5.90361050403917e-14	1.00302342463626e-10	1.00302342463626e-10	STT3A/DDOST/OSTC/DNAJB11/TMEM258/RPN1/SPCS1/RRBP1/SEC11C/RPN2/HSPA5/DNAJC3/SPCS2/SPCS3/HDLBP/EIF4A2/HSPA1B/HYOU1	18
B/Plasma	R-HSA-446203	Asparagine N-linked glycosylation	31/216	306/10248	0.101307189542484	4.80646332607117	9.91920727806638	2.50670361671846e-13	2.12944472240233e-10	2.12944472240233e-10	TMED2/STT3A/KDELR2/KDELR1/LMAN1/MANEA/DDOST/OSTC/ANKRD28/B4GALT3/CD59/LMAN2/SAR1B/CD55/TMEM258/NANS/RPN1/BET1/RPN2/NEU1/SEL1L/DERL1/EDEM2/ALG5/SYVN1/TMED9/TMED10/GMPPB/ST6GALNAC4/UAP1/ARF4	31
B/Plasma	R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	12/216	32/10248	0.375	17.7916666666667	13.9591776212723	8.82915730190501e-13	5.00024608531221e-10	5.0002460853122e-10	PTPN6/CD79A/BLK/SYK/BLNK/PLCG2/CD79B/CD19/LYN/BTK/ORAI2/CD22	12
B/Plasma	R-HSA-9918432	Maturation of DENV proteins	14/216	52/10248	0.269230769230769	12.7735042735043	12.4888941898519	1.95519093104304e-12	8.30467347960531e-10	8.30467347960531e-10	STT3A/DDOST/OSTC/DNAJB11/TMEM258/RPN1/SPCS1/SEC11C/RPN2/HSPA5/DNAJC3/SPCS2/SPCS3/HYOU1	14
B/Plasma	R-HSA-381119	Unfolded Protein Response (UPR)	16/216	83/10248	0.192771084337349	9.14591700133869	10.9334397834033	1.29323140219159e-11	4.39440030464703e-09	4.39440030464703e-09	EIF2AK3/DNAJB11/DNAJB9/WIPI1/ATF4/XBP1/MYDGF/SRPRB/HSPA5/HSP90B1/PDIA6/DNAJC3/SYVN1/CREB3L2/HERPUD1/HYOU1	16
B/Plasma	R-HSA-389948	Co-inhibition by PD-1	19/216	152/10248	0.125	5.93055555555556	8.98616650897419	3.94720569339924e-10	1.11771707884755e-07	1.11771707884755e-07	HLA-DRA/HLA-DPB1/STT3A/HLA-DQA1/PTPN6/DDOST/OSTC/HLA-DRB5/ERLEC1/HLA-DQB1/JUN/TMEM258/HLA-DRB1/RPN1/RPN2/DERL3/HLA-DPA1/SEL1L/DERL1	19
B/Plasma	R-HSA-9768727	Regulation of CDH1 posttranslational processing and trafficking to plasma membrane	10/216	32/10248	0.3125	14.8263888888889	11.4940953862503	6.04787433020363e-10	1.46790549814514e-07	1.46790549814514e-07	STT3A/DDOST/OSTC/TMEM258/RPN1/SPCS1/SEC11C/RPN2/SPCS2/SPCS3	10
B/Plasma	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	15/216	106/10248	0.141509433962264	6.71383647798742	8.67661682770478	5.27835154670284e-09	1.12098990973102e-06	1.12098990973102e-06	DDOST/TRAM1/FAU/SEC61G/SRPRB/RPN1/SPCS1/SEC61A1/SEC11C/RPN2/SSR4/SEC61B/SPCS2/SSR3/SPCS3	15
B/Plasma	R-HSA-381070	IRE1alpha activates chaperones	11/216	51/10248	0.215686274509804	10.2331154684096	9.69903724754794	6.42916038626093e-09	1.21368261069526e-06	1.21368261069526e-06	DNAJB11/DNAJB9/WIPI1/XBP1/MYDGF/SRPRB/HSPA5/PDIA6/DNAJC3/SYVN1/HYOU1	11
B/Plasma	R-HSA-388841	Regulation of T cell activation by CD28 family	20/216	203/10248	0.0985221674876847	4.67432950191571	7.75858692455872	9.20115298341761e-09	1.56327589188265e-06	1.56327589188265e-06	HLA-DRA/HLA-DPB1/STT3A/HLA-DQA1/PTPN6/DDOST/OSTC/HLA-DRB5/ERLEC1/HLA-DQB1/JUN/TMEM258/HLA-DRB1/RPN1/RPN2/DERL3/HLA-DPA1/SEL1L/DERL1/LYN	20
B/Plasma	R-HSA-983705	Signaling by the B Cell Receptor (BCR)	14/216	99/10248	0.141414141414141	6.70931537598204	8.37570719634203	1.75266942522973e-08	2.70707759405938e-06	2.70707759405938e-06	PTPN6/CD79A/BLK/RASGRP3/REL/SYK/BLNK/PLCG2/CD79B/CD19/LYN/BTK/ORAI2/CD22	14
B/Plasma	R-HSA-202430	Translocation of ZAP-70 to Immunological synapse	7/216	17/10248	0.411764705882353	19.5359477124183	11.2230706279045	2.726677928138e-08	3.86052149992206e-06	3.86052149992206e-06	HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DRB5/HLA-DQB1/HLA-DRB1/HLA-DPA1	7
B/Plasma	R-HSA-381038	XBP1(S) activates chaperone genes	10/216	49/10248	0.204081632653061	9.68253968253968	8.93917630706928	5.63272973679589e-08	7.36154447908939e-06	7.36154447908939e-06	DNAJB11/DNAJB9/WIPI1/XBP1/MYDGF/SRPRB/PDIA6/DNAJC3/SYVN1/HYOU1	10
B/Plasma	R-HSA-877300	Interferon gamma signaling	13/216	93/10248	0.139784946236559	6.63201911589008	8.00565946251506	6.63212941350146e-08	8.04856276681356e-06	8.04856276681356e-06	HLA-DRA/HLA-DPB1/HLA-DQA1/PTPN6/IRF7/HLA-DRB5/CIITA/HLA-DQB1/HLA-DRB1/SP100/IRF8/HLA-DPA1/IRF4	13
B/Plasma	R-HSA-202427	Phosphorylation of CD3 and TCR zeta chains	7/216	20/10248	0.35	16.6055555555556	10.2501531464624	1.029794667403e-07	1.16641409327846e-05	1.16641409327846e-05	HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DRB5/HLA-DQB1/HLA-DRB1/HLA-DPA1	7
B/Plasma	R-HSA-202433	Generation of second messenger molecules	8/216	32/10248	0.25	11.8611111111111	9.02901315122824	2.32863235238242e-07	2.47271647918608e-05	2.47271647918608e-05	HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DRB5/HLA-DQB1/HLA-DRB1/PLCG2/HLA-DPA1	8
