query_group	B cell_C2	B cell_C3	CD4_C0	CD4_C1	CD4_C2	CD4_C3	CD4_C4	CD4_C5	CD4_C6	CD8_C0	CD8_C1	CD8_C2	CD8_C3	CD8_C4	CD8_C5	CD8_C6	CD8_C7	CD8_C8	CD8_C9	Classical Mono_C1	Classical Mono_C2	DC_C13	DC1_C14	DC2_C5	DNT	Endothelial_C0	Endothelial_C13	Endothelial_C4	Endothelial_C7	Fibroblast_C1	Fibroblast_C15	Fibroblast_C2	Fibroblast_C6	Fibroblast_C9	gdT	Mast	Mesothelial_C12	Mesothelial_C8	NK_C1	NK_C2	NK_C3	NK_C4	NK_C6	NK_C7	NKT	Non-classical Mono_C6	pDCs	Plasma_C0	Plasma_C1	Plasma_C4	Proliferating DC_C9	Proliferative B cell	Proliferative CD4 T cell	Proliferative CD8 T cell	Proliferative NK cell	Proliferative plasma cell	TAM_C0	TAM_C3	TAM_C4	TAM_C7	VSMC_C14	VSMC_C3
B/Plasma | ref:B cell_C3	0.99831501100526	0.99919717932166	0.7913227458614	0.79601623535172	0.80648769594136	0.82527950336377	0.77665470766404	0.78078464879874	0.81834881814908	0.74121885121701	0.72920354672103	0.71436332255607	0.75834712068147	0.73483930538571	0.72953917796753	0.70714107296523	0.76033767578731	0.69382577707793	0.76342610947087	0.71755511937421	0.72784880607003	0.84277297033136	0.82562646875896	0.79796153243973	0.80773461552145	0.69424786461149	0.66720751684623	0.68395095498286	0.59678335665954	0.53689493273484	0.56695567678747	0.58268212939075	0.6702478963504	0.59485536287893	0.71859520422987	0.71105916526136	0.60052911739919	0.71396489206656	0.63497115739709	0.66666073062772	0.69623205537727	0.64960558215906	0.70933819720078	0.68366779450209	0.70689181420917	0.75466601525183	0.80126673841271	0.67028357251754	0.63856311611809	0.66978181228131	0.74047069431357	0.84237556038846	0.81329463858876	0.72040821312335	0.68214862100452	0.74735255671904	0.69159955283729	0.73221791814942	0.71587183765943	0.71474330781951	0.57326427959802	0.56537688391854
B/Plasma | ref:pDCs	0.80482420014366	0.78942297528051	0.7021797138432	0.71165857809575	0.68482239268139	0.71878439120365	0.70815157314735	0.68999339968741	0.69870500785464	0.68786024566727	0.66695689219189	0.68253813759197	0.6912434847878	0.65830668614589	0.6721069002865	0.67194979493502	0.71657859997778	0.67282253436878	0.70449037868571	0.77750630877209	0.78105797788193	0.83173587670979	0.85413371302502	0.85368292421556	0.77655415875093	0.67954916935529	0.63937981640844	0.66515956623766	0.593709640236	0.57851537443008	0.57779026760831	0.57421605394929	0.67893034877122	0.6026580700891	0.68743310200076	0.70480202230399	0.59775828085709	0.73376832740603	0.67906135751056	0.66773331202045	0.69764132330597	0.68181479915227	0.71774882543272	0.67763083562284	0.68184524790352	0.80223973838881	0.99852825114611	0.64424918765837	0.63754287340607	0.64659550702561	0.81367865117967	0.79203795551354	0.73484439219539	0.69965308612093	0.70685586388281	0.71874009718316	0.76668278820851	0.77050314396289	0.79614920394875	0.79101884324	0.56733594546283	0.56602817159938
B/Plasma | ref:Plasma_C0	0.68035894935355	0.65089350151507	0.56795863630423	0.56854944223627	0.5620330770169	0.56624501574205	0.54626459780501	0.54916749081491	0.5735183549864	0.5131350239188	0.51988664604316	0.49239148322189	0.54379545646744	0.512169937483	0.51429184467674	0.49474789122581	0.52641889077096	0.48211214667529	0.5132745119192	0.51081949900474	0.51611536827073	0.57444332953437	0.54003886199278	0.53404198825262	0.59132935484938	0.51936988400681	0.52166023943087	0.52562222210943	0.4810072959812	0.44848944075737	0.45566814419726	0.47686563515167	0.54969638638873	0.48104018430773	0.51069226117283	0.55818622626687	0.48273602178995	0.56344569668119	0.46940420130729	0.47368458162529	0.49238745918143	0.46920254939735	0.50642671149251	0.48888856337733	0.49934129176131	0.51748161184258	0.63658368457308	0.98638720879815	0.9858441901506	0.97407908630112	0.52187103663772	0.63681198366595	0.57381759240014	0.56082379863506	0.49375936615522	0.93625508760052	0.49118681105266	0.50653161128411	0.51469417291756	0.51572460438794	0.49018367697666	0.45893614387906
Endothelial/Fibroblast | ref:Endothelial_C0	0.68789666499351	0.666788769884	0.68717663267968	0.69485162822925	0.65910104015557	0.69055711592716	0.67146512732968	0.64928408650276	0.67401091675381	0.62826339771284	0.60154638692541	0.61370892831959	0.66043843786792	0.59688263158912	0.60697292125081	0.58773950299322	0.63712065438206	0.5860303516929	0.66777850545871	0.66470942597171	0.67773869400095	0.73068007404461	0.71649061610306	0.70885345917156	0.70903553880104	0.98395747581538	0.94381778573453	0.97744689120051	0.96712649535784	0.7271902388958	0.76136919065016	0.79200609935651	0.81318471658845	0.79507521921062	0.62193374130093	0.63861755194908	0.89972900890513	0.83847543570815	0.59231228110336	0.57259280458031	0.59540082621521	0.58715926078635	0.61574129149532	0.58652805180071	0.61536245263729	0.67273119272266	0.66661821852784	0.51655812204557	0.50498668291699	0.52706915355011	0.70096779440426	0.79825288285233	0.72055989817035	0.64397504960306	0.63601644007782	0.6302019677037	0.66333161521526	0.65288484969305	0.67688681879185	0.68674422751217	0.8004483410532	0.81257474285077
Endothelial/Fibroblast | ref:VSMC_C3	0.61151876585895	0.59068406644299	0.65523475993071	0.65820306307112	0.62893030557519	0.64120246053529	0.62910301640277	0.6111863089647	0.63866926133061	0.57316122077095	0.55801068278449	0.55678731031554	0.62406194389347	0.55106031475452	0.57421706381512	0.54484828596715	0.58748189267552	0.53724188262005	0.59368612396328	0.62071947958275	0.62756986587506	0.66374860677495	0.65433725321081	0.6493149356216	0.65699773180083	0.77524437891647	0.90110077160466	0.78759600314046	0.79293476832691	0.93401261878752	0.96739066872567	0.97866808894479	0.9445730669566	0.96838463816635	0.57735520987376	0.61405593003891	0.92206515863234	0.8986847115918	0.55676208239639	0.54200100772139	0.55660622943863	0.54712156436557	0.579251622566	0.54823061921353	0.57071417491154	0.62150509882332	0.61295204669165	0.48406902100231	0.4707065887746	0.48212086979608	0.63787887041942	0.71025938743917	0.64762930568378	0.57899287465577	0.58539532708793	0.57324450554546	0.61090236555989	0.60877331205801	0.61828293566216	0.64041719013746	0.95647758887402	0.97815902060585
Myeloid/TAM | ref:Classical Mono_C1	0.74440429607192	0.7285147631635	0.66041331592293	0.66975793355593	0.65523740152007	0.68546292399268	0.67139246960571	0.65002941747819	0.66115541537914	0.64672023364671	0.62070368247854	0.63650839924808	0.64330756817996	0.62678508201609	0.62938568470702	0.62827592081478	0.6488726932502	0.61340256951573	0.66297697162248	0.99240748186008	0.99349720074582	0.88340783559118	0.88990786520273	0.96743619163924	0.73370766507462	0.68937742576363	0.65803467440667	0.68981645318374	0.61702422543371	0.58629120842065	0.60009419945471	0.58986515980619	0.67525788503793	0.61946668738119	0.64867826934739	0.72110271709214	0.60340718386899	0.78058489238172	0.64304000718231	0.63718097482132	0.66240048325729	0.64228903746635	0.66642332654003	0.63020184446441	0.64147023758312	0.95982349299873	0.80885125693132	0.51364487466824	0.49474354165525	0.52952466844947	0.96131519334492	0.79155834648657	0.69832831239656	0.63362235384326	0.65683489196979	0.61070327884183	0.96460173810906	0.968859041526	0.959277352694	0.98305128175437	0.58759269759311	0.58698033645943
Myeloid/TAM | ref:Mast	0.70954400799906	0.70396503201908	0.70474268617749	0.70733190794552	0.7504602493535	0.72835111943651	0.7126157554196	0.72981955999421	0.73968384002628	0.6702168224765	0.696471984766	0.6547320781775	0.68774447626516	0.70444810266408	0.71114944809141	0.69441340997783	0.70227382918646	0.66296368781625	0.65576428944782	0.71743217070119	0.72765857257869	0.75523357637966	0.70111196586415	0.72570386341853	0.73106309770806	0.61333425170214	0.63549209403148	0.65348917636632	0.59681562258374	0.58839088877863	0.59708906519036	0.60038647124974	0.64515574009477	0.62136892245858	0.68428635291181	0.99956322837594	0.59265999005447	0.70996530601162	0.66459874803962	0.69520716892382	0.7080898899672	0.65036730269139	0.70175712351572	0.69839656688285	0.66960956213682	0.74554770129057	0.70292214266542	0.57223005006693	0.52203261531289	0.55012267003371	0.71610717585225	0.70302936521581	0.72590310344373	0.68201556540506	0.70290578436962	0.63980672789939	0.68962620092637	0.74422115709382	0.67996144611247	0.70998702575112	0.58888431749435	0.59641851937384
Myeloid/TAM | ref:TAM_C0	0.70033312117349	0.68502214405029	0.626122963631	0.63551875988764	0.62484394510292	0.65421128244784	0.63896438533613	0.62336779828515	0.63163092559402	0.60913284045166	0.58628831956791	0.59961978966208	0.60331988581642	0.58973340227581	0.59593236732543	0.59489832734197	0.61285636114629	0.58215000088789	0.62497803080357	0.9382799744865	0.96237733379218	0.85203476660315	0.83961399117745	0.93333812333341	0.69720813572234	0.67344580760358	0.64008274470067	0.67226443161112	0.60850470522042	0.57744019743142	0.5941459333236	0.57696297741822	0.66405804806083	0.61197453805718	0.61122779424705	0.69785995524908	0.59168669137943	0.74703822615031	0.61051844597993	0.60418613716345	0.62801153387413	0.60717411699111	0.625704643516	0.59928912413596	0.60615526284975	0.93348440507438	0.77462534414189	0.49234969893284	0.47741374488213	0.51011513408394	0.97988838710435	0.77344681012678	0.66953330095025	0.60327330743825	0.62478096825862	0.59077669268034	0.99989876344381	0.94662491692596	0.9896858153241	0.96551282319841	0.58311046185642	0.57546235312124
Myeloid/TAM | ref:TAM_C3	0.76504887247847	0.75720344108688	0.67272572597522	0.68407556559052	0.70922285414915	0.72294509263965	0.69557532842138	0.69731898035817	0.71065731530188	0.67291046775963	0.66901416236089	0.6569382884024	0.65955134731709	0.68025195522528	0.67820533811576	0.67319334282209	0.68295616741783	0.65280483170239	0.67473584257844	0.97393595692167	0.97572068496842	0.906287009508	0.89017806163866	0.95186011383413	0.74487617588541	0.67993303149629	0.65643472427441	0.67732481614345	0.60781403108778	0.57668875207103	0.60026975942504	0.58208968320382	0.66749207099695	0.61728929686243	0.67199289337784	0.75443056230997	0.59107771144011	0.76694417299103	0.6573697365353	0.6774797458808	0.69033776157322	0.65525140266096	0.68975550927523	0.66579315623244	0.66370387504564	0.97829608198569	0.81441553740116	0.5196872913667	0.48539831651557	0.5322314229759	0.9379976047798	0.77393623952219	0.72257350780563	0.65850838785419	0.67970997404558	0.61100280603268	0.93842193833532	0.99320834671532	0.92743632808857	0.95703359999981	0.5754136477864	0.57906872480858
Myeloid/TAM | ref:TAM_C4	0.78383919636144	0.76188500813381	0.68650741519816	0.69600358051554	0.65469110278687	0.69921104478347	0.68105537233536	0.65074114133039	0.66764423766894	0.64797451587937	0.60588001654434	0.63386326030536	0.66152260354295	0.60180495836597	0.62032442408738	0.60921913056918	0.646111291217	0.60163137847615	0.68615542836389	0.90423094095304	0.93420645908299	0.88801590543303	0.89119241412288	0.95258598862638	0.75669959874375	0.70322279131325	0.65888952845263	0.69150265664067	0.62465076031701	0.59083194545393	0.60650927543019	0.59595161884444	0.68682308745451	0.6235176909259	0.64675699926148	0.69947603123961	0.62466675924097	0.77967691090136	0.62626001122786	0.60501552904555	0.64395316298701	0.62947104254854	0.65645235418264	0.61477384004331	0.63616140085356	0.9116794133443	0.82955464951666	0.55472378001387	0.55853245999927	0.57308853794621	0.97840376111756	0.85675375450822	0.72750783443281	0.64812016305038	0.65496523163981	0.66868029858994	0.96595749707466	0.90576359811732	0.98859005322859	0.93847991729629	0.60554359010678	0.59410450540899
T/NK | ref:CD4_C1	0.80649435528874	0.78199566222833	0.98823981770697	0.99573243575802	0.94026312220106	0.9534842473189	0.96558823810569	0.92848601003625	0.93733653753985	0.88671668715009	0.84726285977377	0.85565849810957	0.96805269084242	0.83530479958427	0.89333118421014	0.81541472092536	0.90421903443616	0.80868030561049	0.91954941000618	0.66570870009224	0.68300256749013	0.79511591016919	0.72104990727857	0.71229559367151	0.95969666113137	0.69010037982761	0.68796402645578	0.69258295137784	0.67744816973859	0.59160469988705	0.65834882644778	0.65962554002204	0.67368584729125	0.66235916608514	0.89492198474422	0.70066495489363	0.65964325191571	0.73209213839583	0.750825266793	0.74996668477515	0.80140101968017	0.78228962838022	0.82186390603927	0.81405210702594	0.85739645174451	0.68713860858629	0.72747412167682	0.56661939538729	0.55700336908528	0.56219647599151	0.67243476878564	0.83270864845167	0.91381987761803	0.83520480016163	0.79369460465575	0.67301326978579	0.63679565306794	0.66099126989073	0.66184583422218	0.67782261821689	0.67179360290306	0.64542877079219
