feature_set	gene
classic_markers	CD3D
classic_markers	CD3E
classic_markers	CD2
classic_markers	TRAC
classic_markers	IL7R
classic_markers	CCR7
classic_markers	LTB
classic_markers	CD8A
classic_markers	CD8B
classic_markers	GZMA
classic_markers	GZMB
classic_markers	GZMK
classic_markers	NKG7
classic_markers	GNLY
classic_markers	PRF1
classic_markers	MS4A1
classic_markers	CD79A
classic_markers	CD79B
classic_markers	CD74
classic_markers	MZB1
classic_markers	JCHAIN
classic_markers	IGHG1
classic_markers	LYZ
classic_markers	LST1
classic_markers	S100A8
classic_markers	S100A9
classic_markers	CST3
classic_markers	AIF1
classic_markers	FCGR3A
classic_markers	CD68
classic_markers	C1QA
classic_markers	C1QB
classic_markers	C1QC
classic_markers	MRC1
classic_markers	FCER1G
classic_markers	EPCAM
classic_markers	KRT8
classic_markers	KRT18
classic_markers	KRT19
classic_markers	MUC1
classic_markers	PECAM1
classic_markers	VWF
classic_markers	ENG
classic_markers	KDR
classic_markers	COL1A1
classic_markers	COL1A2
classic_markers	DCN
classic_markers	LUM
classic_markers	ACTA2
classic_markers	RGS5
classic_markers	MKI67
classic_markers	TOP2A
classic_markers	STMN1
classic_markers	TPSAB1
classic_markers	CPA3
classic_markers	IRF7
leiden_top_markers	LTB
leiden_top_markers	EEF1A1
leiden_top_markers	LDHB
leiden_top_markers	TPT1
leiden_top_markers	CCL5
leiden_top_markers	CD8A
leiden_top_markers	IL32
leiden_top_markers	NKG7
leiden_top_markers	SAT1
leiden_top_markers	PLAUR
leiden_top_markers	FTH1
leiden_top_markers	NAMPT
leiden_top_markers	CTSW
leiden_top_markers	CD7
leiden_top_markers	XCL1
leiden_top_markers	HLA-DRA
leiden_top_markers	CD74
leiden_top_markers	HLA-DPB1
leiden_top_markers	FTL
leiden_top_markers	LYZ
leiden_top_markers	S100A8
leiden_top_markers	IER2
leiden_top_markers	CTSS
leiden_top_markers	CD8B
leiden_top_markers	EEF1B2
leiden_top_markers	ACTG1
leiden_top_markers	GAPDH
leiden_top_markers	ACTB
leiden_top_markers	PPIA
leiden_top_markers	CALD1
leiden_top_markers	COL1A2
leiden_top_markers	SPARC
leiden_top_markers	COL3A1
leiden_top_markers	GNG11
leiden_top_markers	IGFBP7
leiden_top_markers	IFI27
leiden_top_markers	TPSAB1
leiden_top_markers	CPA3
leiden_top_markers	TPSB2
leiden_top_markers	MS4A2
leiden_top_markers	IRF7
leiden_top_markers	SERPINF1
leiden_top_markers	GZMB
leiden_top_markers	IRF8
leiden_top_markers	TNFAIP3
leiden_top_markers	JUNB
leiden_top_markers	SPOCK2
leiden_top_markers	RGS1
leiden_top_markers	DUSP2
leiden_top_markers	NR4A2
leiden_top_markers	CD69
leiden_top_markers	CTSB
leiden_top_markers	PSAP
leiden_top_markers	CD68
leiden_top_markers	CST3
